"No.","Time","signal strength","Source","Destination","Info","Length"
"8305","387.639252714","-63 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x0f3d, seq=737/57602, ttl=64 (no response found!)","172"
"8306","387.641074666","-53 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x0f3d, seq=737/57602, ttl=64 (reply in 8310)","161"
"8307","387.652401506","-80 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x0f3d, seq=736/57346, ttl=64 (request in 8300)","172"
"8308","387.653866060","-54 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x0f3d, seq=736/57346, ttl=64","161"
"8309","387.657101703","-53 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x141d, seq=906/35331, ttl=64 (request in 8301)","161"
"8310","387.657147117","-53 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x0f3d, seq=737/57602, ttl=64 (request in 8306)","161"
"8311","387.657162977","-52 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x0f3d, seq=737/57602, ttl=64","161"
"8314","387.967208781","-61 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=907/35587, ttl=64 (no response found!)","161"
"8316","388.335682809","-53 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=907/35587, ttl=64 (no response found!)","161"
"8317","388.335715434","-52 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=907/35587, ttl=64 (no response found!)","161"
"8318","388.335731532","-51 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=907/35587, ttl=64 (reply in 8319)","161"
"8319","388.341965758","-79 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x141d, seq=907/35587, ttl=64 (request in 8318)","172"
"8320","388.343736768","-52 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x141d, seq=907/35587, ttl=64","161"
"8322","388.653183164","-63 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x0f3d, seq=738/57858, ttl=64 (no response found!)","172"
"8330","388.783729404","-53 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x0f3d, seq=738/57858, ttl=64 (reply in 8331)","161"
"8331","388.784489820","-80 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x0f3d, seq=738/57858, ttl=64 (request in 8330)","172"
"8332","388.786403662","-52 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x0f3d, seq=738/57858, ttl=64","161"
"8333","388.969363231","-62 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=908/35843, ttl=64 (no response found!)","161"
"8334","388.970787314","-61 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=908/35843, ttl=64 (no response found!)","161"
"8335","389.072909636","-60 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=908/35843, ttl=64 (no response found!)","161"
"8340","389.642225474","-63 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x0f3d, seq=739/58114, ttl=64 (no response found!)","172"
"8343","390.020819396","-61 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=909/36099, ttl=64 (no response found!)","161"
"8344","390.074025074","","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=908/35843, ttl=64 (no response found!)","162"
"8345","390.074056457","","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x0f3d, seq=739/58114, ttl=64 (no response found!)","162"
"8346","390.074075282","-53 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=909/36099, ttl=64 (no response found!)","172"
"8347","390.074362365","","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=908/35843, ttl=64 (no response found!)","162"
"8348","390.074388975","","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x0f3d, seq=739/58114, ttl=64 (no response found!)","162"
"8349","390.074408507","-52 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=909/36099, ttl=64 (no response found!)","172"
"8350","390.075132770","","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=908/35843, ttl=64 (no response found!)","162"
"8351","390.075167249","","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x0f3d, seq=739/58114, ttl=64 (no response found!)","162"
"8352","390.075187107","-54 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=909/36099, ttl=64 (no response found!)","172"
"8353","390.075202957","","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=908/35843, ttl=64 (no response found!)","162"
"8354","390.075219475","","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x0f3d, seq=739/58114, ttl=64 (no response found!)","162"
"8355","390.075241705","-52 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=909/36099, ttl=64 (no response found!)","172"
"8356","390.075866615","","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=908/35843, ttl=64 (reply in 8360)","162"
"8357","390.075899100","","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x0f3d, seq=739/58114, ttl=64 (reply in 8362)","162"
"8358","390.075918484","-54 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=909/36099, ttl=64 (reply in 8363)","172"
"8360","390.212619540","-80 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x141d, seq=908/35843, ttl=64 (request in 8356)","172"
"8361","390.214146840","-52 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x141d, seq=908/35843, ttl=64","161"
"8362","390.214815357","-79 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x0f3d, seq=739/58114, ttl=64 (request in 8357)","172"
"8363","390.215123921","-80 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x141d, seq=909/36099, ttl=64 (request in 8358)","172"
"8364","390.216923364","-53 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x141d, seq=909/36099, ttl=64","161"
"8366","390.598745969","-53 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x0f3d, seq=739/58114, ttl=64","161"
"8367","390.599991734","-52 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x0f3d, seq=739/58114, ttl=64","161"
"8368","390.600023040","-52 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x0f3d, seq=739/58114, ttl=64","161"
"8369","390.642478269","-63 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x0f3d, seq=740/58370, ttl=64 (no response found!)","172"
"8370","390.644331483","-53 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x0f3d, seq=740/58370, ttl=64 (reply in 8371)","161"
"8371","390.645250877","-79 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x0f3d, seq=740/58370, ttl=64 (request in 8370)","172"
"8372","390.648008013","-52 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x0f3d, seq=740/58370, ttl=64","161"
