"No.","Time","signal strength","Source","Destination","Info","Length"
"140","9.206191438","-53 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=107/27392, ttl=64 (reply in 141)","161"
"141","9.208917866","-75 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0744, seq=107/27392, ttl=64 (request in 140)","172"
"142","9.210533181","-53 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0744, seq=107/27392, ttl=64","161"
"147","9.399383673","-62 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x063c, seq=85/21760, ttl=64 (no response found!)","172"
"148","9.400928497","-53 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x063c, seq=85/21760, ttl=64 (reply in 149)","161"
"149","9.403014202","-75 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x063c, seq=85/21760, ttl=64 (request in 148)","172"
"150","9.404532365","-53 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x063c, seq=85/21760, ttl=64","161"
"151","10.012376769","-62 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=108/27648, ttl=64 (no response found!)","161"
"155","10.129558150","-54 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=108/27648, ttl=64 (reply in 156)","161"
"156","10.132039862","-75 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0744, seq=108/27648, ttl=64 (request in 155)","172"
"157","10.134169040","-54 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0744, seq=108/27648, ttl=64","161"
"161","10.416113019","-63 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x063c, seq=86/22016, ttl=64 (no response found!)","172"
"162","10.417929847","-54 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x063c, seq=86/22016, ttl=64 (reply in 163)","161"
"163","10.420554854","-75 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x063c, seq=86/22016, ttl=64 (request in 162)","172"
"164","10.422872956","-53 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x063c, seq=86/22016, ttl=64","161"
"165","11.014071492","-63 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=109/27904, ttl=64 (no response found!)","161"
"169","11.051332094","-54 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=109/27904, ttl=64 (reply in 170)","161"
"170","11.053267386","-75 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0744, seq=109/27904, ttl=64 (request in 169)","172"
"171","11.055276892","-53 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0744, seq=109/27904, ttl=64","161"
"179","11.407664198","-63 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x063c, seq=87/22272, ttl=64 (no response found!)","172"
"180","11.411887013","-54 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x063c, seq=87/22272, ttl=64 (reply in 181)","161"
"181","11.414494451","-75 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x063c, seq=87/22272, ttl=64 (request in 180)","172"
"182","11.416050901","-75 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x063c, seq=87/22272, ttl=64","172"
"183","11.417964178","-53 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x063c, seq=87/22272, ttl=64","161"
"184","12.015040406","-59 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=110/28160, ttl=64 (no response found!)","161"
"193","12.277943650","-54 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=110/28160, ttl=64 (reply in 194)","161"
"194","12.282652561","-54 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0744, seq=110/28160, ttl=64 (request in 193)","161"
"195","12.407934965","-63 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x063c, seq=88/22528, ttl=64 (reply in 196)","172"
"196","12.414607999","-75 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x063c, seq=88/22528, ttl=64 (request in 195)","172"
"197","12.416899551","-54 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x063c, seq=88/22528, ttl=64","161"
"198","12.416927817","-54 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x063c, seq=88/22528, ttl=64","161"
