"No.","Time","signal strength","Source","Destination","Info","Length"
"144","6.843172843","-54 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x085c, seq=40/10240, ttl=64 (no response found!)","161"
"145","6.843201401","-55 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x085c, seq=40/10240, ttl=64 (reply in 147)","161"
"146","6.916738103","-70 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=85/21760, ttl=64 (request in 142)","158"
"147","6.918075475","-70 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x085c, seq=40/10240, ttl=64 (request in 145)","158"
"148","6.918114763","-53 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=85/21760, ttl=64","161"
"149","6.920575013","-54 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=85/21760, ttl=64","161"
"150","6.920604888","-55 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x085c, seq=40/10240, ttl=64","161"
"151","6.920620921","-55 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x085c, seq=40/10240, ttl=64","161"
"161","7.783097784","-62 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x070c, seq=86/22016, ttl=64 (no response found!)","172"
"162","7.852974048","-62 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x085c, seq=41/10496, ttl=64 (no response found!)","161"
"163","7.853364311","","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x070c, seq=86/22016, ttl=64 (no response found!)","162"
"164","7.853390181","-55 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x085c, seq=41/10496, ttl=64 (no response found!)","172"
"165","7.853944308","","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x070c, seq=86/22016, ttl=64 (no response found!)","162"
"166","7.853971331","-54 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x085c, seq=41/10496, ttl=64 (no response found!)","172"
"167","7.854726033","","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x070c, seq=86/22016, ttl=64 (no response found!)","162"
"168","7.855393728","","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x070c, seq=86/22016, ttl=64 (reply in 170)","162"
"169","7.855420319","-54 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x085c, seq=41/10496, ttl=64 (no response found!)","172"
"170","7.964903795","-70 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=86/22016, ttl=64 (request in 168)","158"
"171","7.965797460","-70 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=86/22016, ttl=64","158"
"172","7.971526537","-71 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=86/22016, ttl=64","158"
"173","7.973333563","-71 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=86/22016, ttl=64","158"
"174","7.976293237","-70 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=86/22016, ttl=64","158"
"175","7.981763492","-70 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=86/22016, ttl=64","158"
"176","7.993618198","-71 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=86/22016, ttl=64","158"
"177","7.994827829","-71 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=86/22016, ttl=64","158"
"178","7.996384253","-71 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=86/22016, ttl=64","158"
"179","7.997719984","-72 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=86/22016, ttl=64","158"
"180","7.999363673","-72 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=86/22016, ttl=64","158"
"181","8.001160931","-72 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=86/22016, ttl=64","158"
"182","8.005789950","-72 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=86/22016, ttl=64","158"
"183","8.009148180","-72 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=86/22016, ttl=64","158"
"184","8.011765963","-72 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=86/22016, ttl=64","158"
"198","8.833154354","-62 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x070c, seq=87/22272, ttl=64 (no response found!)","172"
"199","8.863984662","-55 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x070c, seq=87/22272, ttl=64 (no response found!)","161"
"200","8.864022046","-52 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x070c, seq=87/22272, ttl=64 (no response found!)","161"
"201","8.864048364","-56 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x070c, seq=87/22272, ttl=64 (no response found!)","161"
"202","8.865435962","-54 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x070c, seq=87/22272, ttl=64 (no response found!)","161"
"203","8.865475002","-54 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x070c, seq=87/22272, ttl=64 (no response found!)","161"
"204","8.865502003","-55 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x070c, seq=87/22272, ttl=64 (no response found!)","158"
"205","8.866872181","-56 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x070c, seq=87/22272, ttl=64 (reply in 213)","158"
"206","8.896401157","-63 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x085c, seq=42/10752, ttl=64 (no response found!)","161"
"207","8.899832491","-55 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x085c, seq=42/10752, ttl=64 (no response found!)","161"
"208","8.899884826","-54 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x085c, seq=42/10752, ttl=64 (no response found!)","161"
"209","8.900626694","-55 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x085c, seq=42/10752, ttl=64 (no response found!)","161"
"210","8.901364203","-54 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x085c, seq=42/10752, ttl=64 (no response found!)","161"
"211","8.902594739","-54 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x085c, seq=42/10752, ttl=64 (no response found!)","158"
"212","8.903613611","-56 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x085c, seq=42/10752, ttl=64 (no response found!)","158"
"213","8.956677217","-71 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=87/22272, ttl=64 (request in 205)","158"
"214","8.957951700","-71 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=87/22272, ttl=64","158"
"215","8.959178034","-71 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=87/22272, ttl=64","158"
"216","8.960692635","-71 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=87/22272, ttl=64","158"
"217","8.962723610","-72 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=87/22272, ttl=64","158"
"218","8.964325121","-72 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=87/22272, ttl=64","158"
"219","8.967751142","-72 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=87/22272, ttl=64","158"
"220","8.973931378","-72 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=87/22272, ttl=64","158"
"221","8.975141176","-71 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=87/22272, ttl=64","158"
"222","8.976591573","-71 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=87/22272, ttl=64","158"
"223","8.977920236","-72 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=87/22272, ttl=64","158"
"224","8.980129270","-72 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=87/22272, ttl=64","158"
"225","8.982403518","-72 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=87/22272, ttl=64","158"
"226","8.991433037","-72 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=87/22272, ttl=64","158"
"227","9.015144213","-71 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=87/22272, ttl=64","158"
"236","9.857116153","-63 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x070c, seq=88/22528, ttl=64 (no response found!)","172"
"237","9.920353038","-61 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x085c, seq=43/11008, ttl=64 (no response found!)","161"
"238","9.987356118","","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x070c, seq=88/22528, ttl=64 (no response found!)","162"
"239","9.987385046","-54 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x085c, seq=43/11008, ttl=64 (no response found!)","172"
"240","9.987983441","","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x070c, seq=88/22528, ttl=64 (no response found!)","162"
"241","9.988011496","-54 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x085c, seq=43/11008, ttl=64 (no response found!)","172"
"242","9.988608232","","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x070c, seq=88/22528, ttl=64 (no response found!)","162"
"243","9.988635568","-54 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x085c, seq=43/11008, ttl=64 (no response found!)","172"
"244","9.989105999","","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x070c, seq=88/22528, ttl=64 (no response found!)","162"
"245","9.989132599","-54 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x085c, seq=43/11008, ttl=64 (no response found!)","172"
"246","9.990833126","-53 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x070c, seq=88/22528, ttl=64 (no response found!)","158"
"247","9.990877754","-57 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x070c, seq=88/22528, ttl=64 (no response found!)","158"
"248","9.992475600","-54 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x070c, seq=88/22528, ttl=64 (no response found!)","158"
"249","9.994216368","-53 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x070c, seq=88/22528, ttl=64 (no response found!)","158"
"250","9.996843251","-54 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x070c, seq=88/22528, ttl=64 (no response found!)","158"
"251","9.998016785","-53 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x070c, seq=88/22528, ttl=64 (no response found!)","158"
"252","10.000353932","-53 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x070c, seq=88/22528, ttl=64 (no response found!)","158"
"253","10.002649642","-54 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x070c, seq=88/22528, ttl=64 (no response found!)","158"
"254","10.005788542","-54 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x070c, seq=88/22528, ttl=64 (no response found!)","158"
"255","10.007290380","-55 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x070c, seq=88/22528, ttl=64 (no response found!)","158"
"256","10.011852850","-53 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x070c, seq=88/22528, ttl=64 (no response found!)","158"
"257","10.013530117","-53 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x070c, seq=88/22528, ttl=64 (no response found!)","158"
"258","10.015872039","-53 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x070c, seq=88/22528, ttl=64 (reply in 272)","158"
"259","10.015896626","-53 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x085c, seq=43/11008, ttl=64 (no response found!)","158"
"260","10.015912233","-51 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x085c, seq=43/11008, ttl=64 (no response found!)","158"
"261","10.018922719","-54 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x085c, seq=43/11008, ttl=64 (no response found!)","158"
"262","10.020552586","-55 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x085c, seq=43/11008, ttl=64 (no response found!)","158"
"263","10.021731043","-54 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x085c, seq=43/11008, ttl=64 (no response found!)","158"
"264","10.025412078","-54 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x085c, seq=43/11008, ttl=64 (no response found!)","158"
"265","10.029747993","-53 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x085c, seq=43/11008, ttl=64 (no response found!)","158"
"266","10.030665317","-54 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x085c, seq=43/11008, ttl=64 (no response found!)","158"
"267","10.033138370","-54 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x085c, seq=43/11008, ttl=64 (no response found!)","158"
"268","10.034320328","-54 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x085c, seq=43/11008, ttl=64 (no response found!)","158"
"269","10.036338226","-54 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x085c, seq=43/11008, ttl=64 (no response found!)","158"
"270","10.038757728","-54 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x085c, seq=43/11008, ttl=64 (no response found!)","158"
"271","10.040262412","-53 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x085c, seq=43/11008, ttl=64 (no response found!)","158"
"272","10.086682622","-71 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=88/22528, ttl=64 (request in 258)","158"
"273","10.087965931","-71 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=88/22528, ttl=64","158"
"274","10.089213112","-71 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=88/22528, ttl=64","158"
"275","10.090768968","-71 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=88/22528, ttl=64","158"
"276","10.092056513","-71 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=88/22528, ttl=64","158"
"277","10.093374062","-71 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=88/22528, ttl=64","158"
"278","10.095646698","-71 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=88/22528, ttl=64","158"
"279","10.102572812","-71 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=88/22528, ttl=64","158"
"280","10.103782132","-72 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=88/22528, ttl=64","158"
"281","10.105359885","-71 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=88/22528, ttl=64","158"
"282","10.107101230","-72 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=88/22528, ttl=64","158"
"283","10.109425383","-71 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=88/22528, ttl=64","158"
"284","10.110869615","-71 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=88/22528, ttl=64","158"
"285","10.116216964","-71 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=88/22528, ttl=64","158"
"286","10.117611041","-71 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=88/22528, ttl=64","158"
"287","10.122632166","-71 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=88/22528, ttl=64","158"
"297","10.881078942","-63 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x070c, seq=89/22784, ttl=64 (no response found!)","172"
"298","10.944558147","-63 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x085c, seq=44/11264, ttl=64 (no response found!)","161"
"299","10.944583955","-62 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x085c, seq=44/11264, ttl=64 (no response found!)","161"
"300","10.946746587","-62 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x085c, seq=44/11264, ttl=64 (no response found!)","161"
"301","10.946787653","-62 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x085c, seq=44/11264, ttl=64 (no response found!)","161"
"302","10.946828513","-61 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x085c, seq=44/11264, ttl=64 (no response found!)","161"
"303","11.014139946","","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x070c, seq=89/22784, ttl=64 (reply in 305)","162"
"304","11.014166281","-55 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x085c, seq=44/11264, ttl=64 (reply in 306)","172"
"305","11.117808978","-74 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=89/22784, ttl=64 (request in 303)","158"
"306","11.119387845","-73 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x085c, seq=44/11264, ttl=64 (request in 304)","158"
"307","11.120555348","-54 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x085c, seq=44/11264, ttl=64","161"
