S1A1(6);S2A1(6);S1H2(6);S2H2(6)
-54 dBm;-71 dBm;-55 dBm;-55 dBm
-70 dBm;-72 dBm;-50 dBm;-49 dBm
-70 dBm;-54 dBm;-49 dBm;-54 dBm
-70 dBm;-62 dBm;-40 dBm;-62 dBm
-71 dBm;-54 dBm;-54 dBm;-52 dBm
-71 dBm;-72 dBm;-64 dBm;-49 dBm
-71 dBm;-50 dBm;-53 dBm;-55 dBm
-72 dBm;-54 dBm;-53 dBm;-61 dBm
-55 dBm;-53 dBm;-49 dBm;-54 dBm
-63 dBm;-56 dBm;-55 dBm;-49 dBm
-55 dBm;-61 dBm;-63 dBm;-54 dBm
-72 dBm;-54 dBm;-54 dBm;-62 dBm
-55 dBm;-54 dBm;-54 dBm;-55 dBm
-54 dBm;-53 dBm;-54 dBm;-39 dBm
-63 dBm;-56 dBm;-54 dBm;-54 dBm
-70 dBm;-54 dBm;-49 dBm;-62 dBm
-70 dBm;-71 dBm;-54 dBm;-55 dBm
-70 dBm;-55 dBm;-63 dBm;-49 dBm
-71 dBm;-62 dBm;-54 dBm;-54 dBm
-70 dBm;-54 dBm;-49 dBm;-63 dBm
-71 dBm;-72 dBm;-55 dBm;-54 dBm
-71 dBm;-55 dBm;-63 dBm;-49 dBm
-71 dBm;-62 dBm;-54 dBm;-54 dBm
-72 dBm;-53 dBm;-49 dBm;-62 dBm
-71 dBm;-55 dBm;-54 dBm;-53 dBm
-71 dBm;-53 dBm;-63 dBm;-49 dBm
-71 dBm;-55 dBm;-55 dBm;-54 dBm
-72 dBm;-72 dBm;-49 dBm;-62 dBm
-71 dBm;-54 dBm;-55 dBm;-50 dBm
-63 dBm;-62 dBm;-63 dBm;-54 dBm
-71 dBm;-62 dBm;-55 dBm;-62 dBm
-70 dBm;-62 dBm;-49 dBm;-54 dBm
-54 dBm;-62 dBm;-54 dBm;-49 dBm
-64 dBm;-54 dBm;-63 dBm;-50 dBm
-72 dBm;-72 dBm;-54 dBm;-54 dBm
-55 dBm;-55 dBm;-49 dBm;-53 dBm
-54 dBm;-55 dBm;-54 dBm;-53 dBm
-54 dBm;-54 dBm;-54 dBm;-63 dBm
-63 dBm;-62 dBm;-54 dBm;-54 dBm
-72 dBm;-72 dBm;-63 dBm;-50 dBm
-55 dBm;-72 dBm;-54 dBm;-53 dBm
-54 dBm;-55 dBm;-49 dBm;-54 dBm
-62 dBm;-62 dBm;-54 dBm;-49 dBm
-72 dBm;-72 dBm;-63 dBm;-54 dBm
-72 dBm;-55 dBm;-63 dBm;-54 dBm
-72 dBm;-61 dBm;-54 dBm;-61 dBm
-54 dBm;-55 dBm;-54 dBm;-54 dBm
-63 dBm;-71 dBm;-50 dBm;-50 dBm
-72 dBm;-55 dBm;-55 dBm;-50 dBm
-75 dBm;-55 dBm;-63 dBm;-40 dBm
-51 dBm;-55 dBm;-63 dBm;-54 dBm
-52 dBm;-54 dBm;-54 dBm;-63 dBm
-53 dBm;-61 dBm;-49 dBm;-55 dBm
-53 dBm;-61 dBm;-55 dBm;-49 dBm
-50 dBm;-71 dBm;-54 dBm;-55 dBm
-50 dBm;-54 dBm;-51 dBm;-62 dBm
-64 dBm;-61 dBm;-53 dBm;-55 dBm
-54 dBm;-71 dBm;-53 dBm;-50 dBm
-49 dBm;-72 dBm;-55 dBm;-53 dBm
-53 dBm;-72 dBm;-53 dBm;-53 dBm
-71 dBm;-71 dBm;-63 dBm;-61 dBm
-54 dBm;-71 dBm;-54 dBm;-54 dBm
-63 dBm;-71 dBm;-50 dBm;-41 dBm
-63 dBm;-71 dBm;-54 dBm;-54 dBm
-72 dBm;-71 dBm;-54 dBm;-55 dBm
-55 dBm;-72 dBm;-63 dBm;-55 dBm
-54 dBm;-71 dBm;-54 dBm;-55 dBm
-63 dBm;-72 dBm;-49 dBm;-61 dBm
-71 dBm;-71 dBm;-53 dBm;-50 dBm
-55 dBm;-62 dBm;-63 dBm;-49 dBm
-54 dBm;-61 dBm;-54 dBm;-40 dBm
-63 dBm;-62 dBm;-40 dBm;-54 dBm
-63 dBm;-53 dBm;-54 dBm;-56 dBm
-63 dBm;-71 dBm;-63 dBm;-62 dBm
-64 dBm;-71 dBm;-54 dBm;-54 dBm
-71 dBm;-71 dBm;-55 dBm;-50 dBm
-72 dBm;-71 dBm;-55 dBm;-55 dBm
-54 dBm;-71 dBm;-55 dBm;-62 dBm
-63 dBm;-71 dBm;-54 dBm;-54 dBm
-62 dBm;-71 dBm;-54 dBm;-55 dBm
-55 dBm;-71 dBm;-50 dBm;-50 dBm
-72 dBm;-71 dBm;-56 dBm;-54 dBm
-53 dBm;-71 dBm;-63 dBm;-54 dBm
-63 dBm;-71 dBm;-62 dBm;-53 dBm
-53 dBm;-72 dBm;-53 dBm;-53 dBm
-72 dBm;-71 dBm;-50 dBm;-62 dBm
-72 dBm;-72 dBm;-50 dBm;-54 dBm
-54 dBm;-71 dBm;-39 dBm;-49 dBm
-54 dBm;-72 dBm;-39 dBm;-54 dBm
-55 dBm;-61 dBm;-54 dBm;-51 dBm
-55 dBm;-73 dBm;-64 dBm;-52 dBm
-54 dBm;-54 dBm;-54 dBm;-52 dBm
-71 dBm;-62 dBm;-50 dBm;-53 dBm
-55 dBm;-54 dBm;-49 dBm;-52 dBm
-63 dBm;-73 dBm;-41 dBm;-55 dBm
-55 dBm;-73 dBm;-54 dBm;-62 dBm
-54 dBm;-54 dBm;-63 dBm;-55 dBm
-55 dBm;-61 dBm;-54 dBm;-49 dBm
-55 dBm;-62 dBm;-54 dBm;-55 dBm
-54 dBm;-54 dBm;-50 dBm;-62 dBm
-72 dBm;-70 dBm;-54 dBm;-55 dBm
-71 dBm;-70 dBm;-63 dBm;-50 dBm
-71 dBm;-70 dBm;-53 dBm;-55 dBm
-72 dBm;-70 dBm;-48 dBm;-61 dBm
-72 dBm;-70 dBm;-49 dBm;-55 dBm
-71 dBm;-70 dBm;-55 dBm;-50 dBm
-72 dBm;-70 dBm;-53 dBm;-50 dBm
-71 dBm;-71 dBm;-63 dBm;-41 dBm
-71 dBm;-71 dBm;-54 dBm;-56 dBm
-71 dBm;-55 dBm;-50 dBm;-63 dBm
-72 dBm;-62 dBm;-49 dBm;-53 dBm
-71 dBm;-71 dBm;-40 dBm;-49 dBm
-71 dBm;-55 dBm;-55 dBm;-54 dBm
-70 dBm;-63 dBm;-55 dBm;-59 dBm
-71 dBm;-70 dBm;-64 dBm;-55 dBm
-71 dBm;-55 dBm;-53 dBm;-49 dBm
-63 dBm;-54 dBm;-49 dBm;-55 dBm
-54 dBm;-62 dBm;-55 dBm;-55 dBm
-63 dBm;-53 dBm;-54 dBm;-52 dBm
-55 dBm;-73 dBm;-63 dBm;-54 dBm
-54 dBm;-73 dBm;-54 dBm;-51 dBm
-54 dBm;-53 dBm;-50 dBm;-53 dBm
-55 dBm;-55 dBm;-55 dBm;-61 dBm
-54 dBm;-54 dBm;-63 dBm;-55 dBm
-63 dBm;-54 dBm;-54 dBm;-50 dBm
-55 dBm;-62 dBm;-50 dBm;-55 dBm
-53 dBm;-55 dBm;-56 dBm;-62 dBm
-73 dBm;-70 dBm;-63 dBm;-53 dBm
-54 dBm;-71 dBm;-54 dBm;-56 dBm
-63 dBm;-71 dBm;-49 dBm;-52 dBm
-55 dBm;-71 dBm;-54 dBm;-53 dBm
-72 dBm;-71 dBm;-54 dBm;-49 dBm
-72 dBm;-71 dBm;-55 dBm;-54 dBm
-53 dBm;-72 dBm;-63 dBm;-55 dBm
-53 dBm;-71 dBm;-55 dBm;-63 dBm
-55 dBm;-71 dBm;-50 dBm;-54 dBm
-51 dBm;-70 dBm;-54 dBm;-49 dBm
-54 dBm;-71 dBm;-64 dBm;-53 dBm
-53 dBm;-71 dBm;-55 dBm;-62 dBm
-63 dBm;-71 dBm;-54 dBm;-53 dBm
-54 dBm;-62 dBm;-54 dBm;-50 dBm
-54 dBm;-62 dBm;-55 dBm;-53 dBm
-55 dBm;-61 dBm;-56 dBm;-62 dBm
-54 dBm;-62 dBm;-50 dBm;-54 dBm
-54 dBm;-54 dBm;-54 dBm;-54 dBm
-71 dBm;-55 dBm;-63 dBm;-52 dBm
-71 dBm;-69 dBm;-54 dBm;-50 dBm
-71 dBm;-70 dBm;-54 dBm;-54 dBm
-71 dBm;-70 dBm;-54 dBm;-61 dBm
-71 dBm;-70 dBm;-54 dBm;-55 dBm
-71 dBm;-70 dBm;-54 dBm;-49 dBm
-71 dBm;-70 dBm;-53 dBm;-54 dBm
-71 dBm;-69 dBm;-50 dBm;-62 dBm
-72 dBm;-70 dBm;-50 dBm;-55 dBm
-72 dBm;-70 dBm;-41 dBm;-54 dBm
-71 dBm;-71 dBm;-53 dBm;-54 dBm
-71 dBm;-71 dBm;-55 dBm;-53 dBm
-71 dBm;-71 dBm;-63 dBm;-54 dBm
-63 dBm;-71 dBm;-55 dBm;-54 dBm
-56 dBm;-71 dBm;-53 dBm;-54 dBm
-71 dBm;-71 dBm;-50 dBm;-54 dBm
-54 dBm;-61 dBm;-54 dBm;-49 dBm
-63 dBm;-73 dBm;-63 dBm;-39 dBm
-54 dBm;-73 dBm;-54 dBm;-51 dBm
-55 dBm;-54 dBm;-50 dBm;-54 dBm
-55 dBm;-62 dBm;-54 dBm;-54 dBm
-55 dBm;-72 dBm;-64 dBm;-51 dBm
-71 dBm;-54 dBm;-55 dBm;-52 dBm
-54 dBm;-62 dBm;-49 dBm;-53 dBm
-55 dBm;-72 dBm;-55 dBm;-62 dBm
-54 dBm;-55 dBm;-64 dBm;-54 dBm
-54 dBm;-61 dBm;-54 dBm;-50 dBm
-54 dBm;-54 dBm;-50 dBm;-50 dBm
-63 dBm;-72 dBm;-54 dBm;-40 dBm
-55 dBm;-54 dBm;-66 dBm;-54 dBm
-55 dBm;-62 dBm;-55 dBm;-62 dBm
-72 dBm;-72 dBm;-49 dBm;-54 dBm
-72 dBm;-71 dBm;-49 dBm;-46 dBm
-54 dBm;-71 dBm;-53 dBm;-54 dBm
-63 dBm;-71 dBm;-53 dBm;-61 dBm
-55 dBm;-71 dBm;-54 dBm;-52 dBm
-50 dBm;-71 dBm;-53 dBm;-47 dBm
-51 dBm;-71 dBm;-63 dBm;-54 dBm
-54 dBm;-70 dBm;-54 dBm;-62 dBm
-72 dBm;-72 dBm;-49 dBm;-47 dBm
-71 dBm;-71 dBm;-49 dBm;-53 dBm
-71 dBm;-71 dBm;-40 dBm;-62 dBm
-54 dBm;-71 dBm;-54 dBm;-54 dBm
-63 dBm;-71 dBm;-63 dBm;-46 dBm
-64 dBm;-71 dBm;-54 dBm;-54 dBm
-54 dBm;-62 dBm;-47 dBm;-62 dBm
-54 dBm;-71 dBm;-53 dBm;-54 dBm
-55 dBm;-71 dBm;-63 dBm;-47 dBm
-55 dBm;-72 dBm;-53 dBm;-55 dBm
-54 dBm;-71 dBm;-47 dBm;-61 dBm
-53 dBm;-71 dBm;-53 dBm;-55 dBm
