S1A1(6);S2A1(6);S1H2(6);S2H2(6)
-55 dBm;-54 dBm;-64 dBm;-52 dBm
-70 dBm;-55 dBm;-54 dBm;-54 dBm
-54 dBm;-55 dBm;-54 dBm;-55 dBm
-63 dBm;-71 dBm;-55 dBm;-61 dBm
-55 dBm;-71 dBm;-54 dBm;-55 dBm
-71 dBm;-71 dBm;-63 dBm;-54 dBm
-54 dBm;-54 dBm;-63 dBm;-54 dBm
-63 dBm;-63 dBm;-54 dBm;-62 dBm
-55 dBm;-70 dBm;-54 dBm;-55 dBm
-54 dBm;-54 dBm;-54 dBm;-54 dBm
-55 dBm;-62 dBm;-63 dBm;-54 dBm
-55 dBm;-71 dBm;-54 dBm;-62 dBm
-54 dBm;-54 dBm;-55 dBm;-55 dBm
-54 dBm;-63 dBm;-54 dBm;-55 dBm
-54 dBm;-55 dBm;-63 dBm;-54 dBm
-71 dBm;-71 dBm;-54 dBm;-62 dBm
-54 dBm;-54 dBm;-55 dBm;-54 dBm
-55 dBm;-62 dBm;-55 dBm;-54 dBm
-63 dBm;-54 dBm;-54 dBm;-55 dBm
-53 dBm;-71 dBm;-54 dBm;-62 dBm
-71 dBm;-55 dBm;-64 dBm;-55 dBm
-54 dBm;-61 dBm;-54 dBm;-54 dBm
-63 dBm;-71 dBm;-55 dBm;-53 dBm
-54 dBm;-54 dBm;-54 dBm;-62 dBm
-54 dBm;-71 dBm;-63 dBm;-54 dBm
-55 dBm;-55 dBm;-54 dBm;-56 dBm
-54 dBm;-62 dBm;-55 dBm;-54 dBm
-55 dBm;-52 dBm;-55 dBm;-62 dBm
-52 dBm;-71 dBm;-55 dBm;-54 dBm
-55 dBm;-54 dBm;-63 dBm;-55 dBm
-55 dBm;-62 dBm;-54 dBm;-55 dBm
-53 dBm;-54 dBm;-55 dBm;-62 dBm
-70 dBm;-55 dBm;-56 dBm;-55 dBm
-54 dBm;-54 dBm;-54 dBm;-55 dBm
-63 dBm;-54 dBm;-63 dBm;-54 dBm
-54 dBm;-54 dBm;-55 dBm;-62 dBm
-54 dBm;-55 dBm;-54 dBm;-54 dBm
-70 dBm;-54 dBm;-55 dBm;-54 dBm
-53 dBm;-51 dBm;-55 dBm;-55 dBm
-55 dBm;-71 dBm;-63 dBm;-54 dBm
-64 dBm;-54 dBm;-55 dBm;-55 dBm
-54 dBm;-54 dBm;-53 dBm;-54 dBm
-70 dBm;-62 dBm;-55 dBm;-55 dBm
-54 dBm;-73 dBm;-56 dBm;-54 dBm
-63 dBm;-55 dBm;-40 dBm;-62 dBm
-53 dBm;-53 dBm;-52 dBm;-54 dBm
-71 dBm;-54 dBm;-55 dBm;-54 dBm
-54 dBm;-55 dBm;-54 dBm;-40 dBm
-63 dBm;-62 dBm;-63 dBm;-54 dBm
-55 dBm;-73 dBm;-54 dBm;-63 dBm
-54 dBm;-55 dBm;-55 dBm;-54 dBm
-54 dBm;-62 dBm;-54 dBm;-54 dBm
-55 dBm;-53 dBm;-64 dBm;-55 dBm
-54 dBm;-54 dBm;-54 dBm;-54 dBm
-54 dBm;-55 dBm;-55 dBm;-41 dBm
-52 dBm;-54 dBm;-54 dBm;-54 dBm
-71 dBm;-55 dBm;-63 dBm;-54 dBm
-52 dBm;-55 dBm;-54 dBm;-54 dBm
-63 dBm;-72 dBm;-55 dBm;-61 dBm
-54 dBm;-54 dBm;-55 dBm;-63 dBm
-55 dBm;-63 dBm;-63 dBm;-55 dBm
-54 dBm;-70 dBm;-54 dBm;-43 dBm
-54 dBm;-54 dBm;-55 dBm;-55 dBm
-54 dBm;-61 dBm;-54 dBm;-62 dBm
-54 dBm;-70 dBm;-63 dBm;-55 dBm
-71 dBm;-54 dBm;-54 dBm;-44 dBm
-54 dBm;-62 dBm;-55 dBm;-55 dBm
-63 dBm;-54 dBm;-54 dBm;-62 dBm
-53 dBm;-70 dBm;-55 dBm;-62 dBm
-70 dBm;-52 dBm;-54 dBm;-62 dBm
-55 dBm;-62 dBm;-63 dBm;-54 dBm
-63 dBm;-54 dBm;-56 dBm;-45 dBm
-55 dBm;-71 dBm;-54 dBm;-54 dBm
-71 dBm;-54 dBm;-54 dBm;-54 dBm
-55 dBm;-63 dBm;-64 dBm;-45 dBm
-55 dBm;-71 dBm;-54 dBm;-55 dBm
-54 dBm;-55 dBm;-55 dBm;-62 dBm
-63 dBm;-62 dBm;-53 dBm;-55 dBm
-55 dBm;-71 dBm;-54 dBm;-54 dBm
-55 dBm;-54 dBm;-64 dBm;-44 dBm
-54 dBm;-62 dBm;-54 dBm;-54 dBm
-55 dBm;-54 dBm;-54 dBm;-62 dBm
-55 dBm;-55 dBm;-55 dBm;-54 dBm
-71 dBm;-71 dBm;-55 dBm;-45 dBm
-70 dBm;-70 dBm;-54 dBm;-55 dBm
-71 dBm;-54 dBm;-54 dBm;-62 dBm
-70 dBm;-62 dBm;-63 dBm;-62 dBm
-53 dBm;-54 dBm;-54 dBm;-62 dBm
-54 dBm;-54 dBm;-55 dBm;-62 dBm
-63 dBm;-71 dBm;-53 dBm;-61 dBm
-53 dBm;-54 dBm;-64 dBm;-62 dBm
-54 dBm;-63 dBm;-54 dBm;-61 dBm
-54 dBm;-72 dBm;-55 dBm;-44 dBm
-54 dBm;-70 dBm;-55 dBm;-45 dBm
-55 dBm;-70 dBm;-63 dBm;-55 dBm
-71 dBm;-55 dBm;-54 dBm;-63 dBm
-54 dBm;-63 dBm;-55 dBm;-54 dBm
-53 dBm;-53 dBm;-55 dBm;-39 dBm
-54 dBm;-53 dBm;-54 dBm;-54 dBm
-54 dBm;-53 dBm;-64 dBm;-63 dBm
-63 dBm;-70 dBm;-54 dBm;-55 dBm
-55 dBm;-54 dBm;-55 dBm;-45 dBm
-55 dBm;-62 dBm;-54 dBm;-52 dBm
-72 dBm;-70 dBm;-64 dBm;-62 dBm
-71 dBm;-54 dBm;-53 dBm;-53 dBm
-55 dBm;-62 dBm;-55 dBm;-45 dBm
-63 dBm;-55 dBm;-54 dBm;-55 dBm
-54 dBm;-54 dBm;-63 dBm;-62 dBm
-71 dBm;-71 dBm;-54 dBm;-54 dBm
-55 dBm;-70 dBm;-54 dBm;-45 dBm
-63 dBm;-71 dBm;-54 dBm;-53 dBm
-54 dBm;-71 dBm;-64 dBm;-62 dBm
-71 dBm;-54 dBm;-54 dBm;-55 dBm
-54 dBm;-55 dBm;-54 dBm;-45 dBm
-63 dBm;-62 dBm;-55 dBm;-55 dBm
-55 dBm;-53 dBm;-54 dBm;-62 dBm
-70 dBm;-71 dBm;-63 dBm;-53 dBm
-54 dBm;-54 dBm;-55 dBm;-45 dBm
-63 dBm;-61 dBm;-55 dBm;-55 dBm
-55 dBm;-54 dBm;-54 dBm;-54 dBm
-70 dBm;-55 dBm;-63 dBm;-45 dBm
-54 dBm;-54 dBm;-55 dBm;-54 dBm
-63 dBm;-55 dBm;-55 dBm;-62 dBm
-53 dBm;-70 dBm;-54 dBm;-55 dBm
-71 dBm;-55 dBm;-63 dBm;-44 dBm
-54 dBm;-55 dBm;-54 dBm;-54 dBm
-63 dBm;-55 dBm;-55 dBm;-63 dBm
-55 dBm;-54 dBm;-55 dBm;-54 dBm
-71 dBm;-62 dBm;-54 dBm;-45 dBm
-54 dBm;-54 dBm;-63 dBm;-54 dBm
-63 dBm;-71 dBm;-54 dBm;-63 dBm
-55 dBm;-55 dBm;-54 dBm;-54 dBm
-71 dBm;-62 dBm;-55 dBm;-45 dBm
-55 dBm;-54 dBm;-63 dBm;-54 dBm
-70 dBm;-70 dBm;-55 dBm;-63 dBm
-70 dBm;-55 dBm;-54 dBm;-55 dBm
-68 dBm;-62 dBm;-54 dBm;-45 dBm
-54 dBm;-54 dBm;-63 dBm;-54 dBm
-55 dBm;-61 dBm;-54 dBm;-63 dBm
-54 dBm;-72 dBm;-55 dBm;-55 dBm
-54 dBm;-54 dBm;-54 dBm;-45 dBm
-54 dBm;-61 dBm;-55 dBm;-49 dBm
-54 dBm;-54 dBm;-55 dBm;-62 dBm
-55 dBm;-55 dBm;-63 dBm;-54 dBm
-54 dBm;-55 dBm;-62 dBm;-54 dBm
-54 dBm;-55 dBm;-55 dBm;-62 dBm
-71 dBm;-71 dBm;-56 dBm;-55 dBm
-54 dBm;-70 dBm;-55 dBm;-45 dBm
-68 dBm;-54 dBm;-54 dBm;-54 dBm
-54 dBm;-62 dBm;-56 dBm;-62 dBm
-52 dBm;-62 dBm;-63 dBm;-55 dBm
-55 dBm;-55 dBm;-55 dBm;-45 dBm
-71 dBm;-54 dBm;-55 dBm;-55 dBm
-54 dBm;-55 dBm;-56 dBm;-62 dBm
-54 dBm;-54 dBm;-54 dBm;-54 dBm
-63 dBm;-71 dBm;-63 dBm;-45 dBm
-54 dBm;-54 dBm;-54 dBm;-54 dBm
-53 dBm;-62 dBm;-55 dBm;-63 dBm
-55 dBm;-54 dBm;-54 dBm;-52 dBm
-54 dBm;-62 dBm;-63 dBm;-45 dBm
-54 dBm;-51 dBm;-54 dBm;-55 dBm
-54 dBm;-51 dBm;-54 dBm;-62 dBm
-54 dBm;-52 dBm;-55 dBm;-55 dBm
-71 dBm;-52 dBm;-40 dBm;-45 dBm
-69 dBm;-51 dBm;-54 dBm;-54 dBm
-54 dBm;-52 dBm;-63 dBm;-61 dBm
-64 dBm;-55 dBm;-55 dBm;-55 dBm
-54 dBm;-54 dBm;-55 dBm;-46 dBm
-54 dBm;-71 dBm;-54 dBm;-54 dBm
-54 dBm;-62 dBm;-54 dBm;-62 dBm
-54 dBm;-54 dBm;-63 dBm;-55 dBm
-55 dBm;-54 dBm;-53 dBm;-46 dBm
-55 dBm;-71 dBm;-53 dBm;-54 dBm
-55 dBm;-54 dBm;-54 dBm;-62 dBm
-52 dBm;-55 dBm;-55 dBm;-63 dBm
-53 dBm;-53 dBm;-64 dBm;-54 dBm
-70 dBm;-55 dBm;-64 dBm;-46 dBm
-55 dBm;-62 dBm;-54 dBm;-55 dBm
-64 dBm;-54 dBm;-54 dBm;-62 dBm
-55 dBm;-54 dBm;-53 dBm;-54 dBm
-54 dBm;-54 dBm;-54 dBm;-54 dBm
-70 dBm;-71 dBm;-64 dBm;-54 dBm
-54 dBm;-53 dBm;-54 dBm;-53 dBm
-64 dBm;-62 dBm;-45 dBm;-46 dBm
-54 dBm;-71 dBm;-54 dBm;-55 dBm
-71 dBm;-54 dBm;-63 dBm;-63 dBm
-55 dBm;-62 dBm;-54 dBm;-55 dBm
-55 dBm;-71 dBm;-44 dBm;-46 dBm
-63 dBm;-55 dBm;-55 dBm;-55 dBm
-54 dBm;-55 dBm;-53 dBm;-61 dBm
-70 dBm;-54 dBm;-63 dBm;-54 dBm
-54 dBm;-51 dBm;-45 dBm;-46 dBm
-63 dBm;-53 dBm;-55 dBm;-55 dBm
-55 dBm;-71 dBm;-54 dBm;-63 dBm
-55 dBm;-55 dBm;-54 dBm;-55 dBm
-69 dBm;-62 dBm;-63 dBm;-44 dBm
-54 dBm;-55 dBm;-55 dBm;-54 dBm
-63 dBm;-54 dBm;-45 dBm;-61 dBm
-55 dBm;-71 dBm;-45 dBm;-52 dBm
-54 dBm;-55 dBm;-55 dBm;-45 dBm
-54 dBm;-62 dBm;-53 dBm;-46 dBm
-54 dBm;-55 dBm;-55 dBm;-39 dBm
-71 dBm;-55 dBm;-54 dBm;-51 dBm
-54 dBm;-54 dBm;-64 dBm;-63 dBm
-70 dBm;-55 dBm;-54 dBm;-45 dBm
-64 dBm;-53 dBm;-44 dBm;-54 dBm
-54 dBm;-71 dBm;-53 dBm;-63 dBm
-54 dBm;-54 dBm;-63 dBm;-55 dBm
-70 dBm;-62 dBm;-54 dBm;-54 dBm
-70 dBm;-54 dBm;-45 dBm;-46 dBm
-55 dBm;-54 dBm;-54 dBm;-54 dBm
-54 dBm;-54 dBm;-63 dBm;-62 dBm
-70 dBm;-54 dBm;-62 dBm;-54 dBm
-63 dBm;-54 dBm;-63 dBm;-45 dBm
-54 dBm;-71 dBm;-54 dBm;-39 dBm
-53 dBm;-53 dBm;-45 dBm;-53 dBm
-70 dBm;-70 dBm;-55 dBm;-62 dBm
-63 dBm;-55 dBm;-63 dBm;-62 dBm
-55 dBm;-64 dBm;-55 dBm;-62 dBm
-55 dBm;-71 dBm;-45 dBm;-62 dBm
-71 dBm;-54 dBm;-54 dBm;-62 dBm
-55 dBm;-62 dBm;-63 dBm;-46 dBm
-64 dBm;-54 dBm;-55 dBm;-39 dBm
-55 dBm;-71 dBm;-40 dBm;-54 dBm
-70 dBm;-54 dBm;-40 dBm;-56 dBm
-55 dBm;-62 dBm;-54 dBm;-63 dBm
-56 dBm;-71 dBm;-63 dBm;-45 dBm
-54 dBm;-55 dBm;-54 dBm;-53 dBm
-54 dBm;-63 dBm;-44 dBm;-54 dBm
-54 dBm;-53 dBm;-54 dBm;-54 dBm
-55 dBm;-53 dBm;-63 dBm;-55 dBm
-55 dBm;-70 dBm;-54 dBm;-54 dBm
-63 dBm;-55 dBm;-54 dBm;-55 dBm
-54 dBm;-63 dBm;-44 dBm;-62 dBm
-71 dBm;-54 dBm;-54 dBm;-63 dBm
-55 dBm;-71 dBm;-52 dBm;-53 dBm
-63 dBm;-54 dBm;-54 dBm;-42 dBm
-55 dBm;-63 dBm;-63 dBm;-54 dBm
-71 dBm;-51 dBm;-53 dBm;-62 dBm
-55 dBm;-53 dBm;-54 dBm;-53 dBm
-63 dBm;-55 dBm;-54 dBm;-42 dBm
-55 dBm;-70 dBm;-45 dBm;-56 dBm
-54 dBm;-63 dBm;-54 dBm;-63 dBm
-54 dBm;-71 dBm;-63 dBm;-62 dBm
-71 dBm;-54 dBm;-55 dBm;-62 dBm
-71 dBm;-62 dBm;-45 dBm;-56 dBm
-63 dBm;-71 dBm;-55 dBm;-43 dBm
-64 dBm;-54 dBm;-63 dBm;-56 dBm
-63 dBm;-62 dBm;-54 dBm;-62 dBm
-54 dBm;-53 dBm;-45 dBm;-42 dBm
-70 dBm;-54 dBm;-54 dBm;-55 dBm
-54 dBm;-55 dBm;-63 dBm;-62 dBm
-54 dBm;-71 dBm;-52 dBm;-62 dBm
-54 dBm;-54 dBm;-46 dBm;-63 dBm
-63 dBm;-63 dBm;-54 dBm;-55 dBm
-54 dBm;-71 dBm;-54 dBm;-43 dBm
-54 dBm;-55 dBm;-53 dBm;-55 dBm
-54 dBm;-62 dBm;-63 dBm;-62 dBm
-54 dBm;-62 dBm;-63 dBm;-53 dBm
-54 dBm;-71 dBm;-54 dBm;-54 dBm
-71 dBm;-55 dBm;-46 dBm;-42 dBm
-70 dBm;-62 dBm;-54 dBm;-55 dBm
-54 dBm;-54 dBm;-54 dBm;-62 dBm
-63 dBm;-55 dBm;-63 dBm;-54 dBm
-53 dBm;-53 dBm;-54 dBm;-43 dBm
-54 dBm;-54 dBm;-46 dBm;-54 dBm
-70 dBm;-71 dBm;-54 dBm;-62 dBm
-70 dBm;-55 dBm;-63 dBm;-53 dBm
-55 dBm;-62 dBm;-54 dBm;-42 dBm
-63 dBm;-54 dBm;-45 dBm;-55 dBm
-55 dBm;-52 dBm;-54 dBm;-62 dBm
-70 dBm;-52 dBm;-63 dBm;-54 dBm
-54 dBm;-54 dBm;-63 dBm;-44 dBm
-54 dBm;-53 dBm;-63 dBm;-54 dBm
-63 dBm;-56 dBm;-63 dBm;-63 dBm
-54 dBm;-71 dBm;-55 dBm;-54 dBm
-71 dBm;-54 dBm;-46 dBm;-55 dBm
-54 dBm;-63 dBm;-55 dBm;-43 dBm
-63 dBm;-70 dBm;-54 dBm;-55 dBm
-63 dBm;-54 dBm;-55 dBm;-63 dBm
-55 dBm;-63 dBm;-56 dBm;-62 dBm
-70 dBm;-54 dBm;-55 dBm;-55 dBm
-54 dBm;-63 dBm;-52 dBm;-44 dBm
-63 dBm;-55 dBm;-51 dBm;-54 dBm
-54 dBm;-71 dBm;-51 dBm;-61 dBm
-70 dBm;-55 dBm;-53 dBm;-54 dBm
-54 dBm;-63 dBm;-55 dBm;-56 dBm
-63 dBm;-54 dBm;-54 dBm;-43 dBm
-54 dBm;-52 dBm;-53 dBm;-55 dBm
-71 dBm;-54 dBm;-63 dBm;-63 dBm
-54 dBm;-52 dBm;-63 dBm;-54 dBm
-64 dBm;-52 dBm;-63 dBm;-55 dBm
-55 dBm;-55 dBm;-54 dBm;-44 dBm
-54 dBm;-54 dBm;-45 dBm;-54 dBm
-71 dBm;-56 dBm;-54 dBm;-62 dBm
-54 dBm;-63 dBm;-53 dBm;-63 dBm
-54 dBm;-53 dBm;-63 dBm;-63 dBm
-54 dBm;-62 dBm;-54 dBm;-54 dBm
-63 dBm;-71 dBm;-54 dBm;-44 dBm
-53 dBm;-56 dBm;-55 dBm;-54 dBm
-70 dBm;-62 dBm;-45 dBm;-62 dBm
-54 dBm;-53 dBm;-54 dBm;-54 dBm
-54 dBm;-54 dBm;-53 dBm;-44 dBm
-63 dBm;-53 dBm;-54 dBm;-54 dBm
-55 dBm;-69 dBm;-63 dBm;-62 dBm
-55 dBm;-54 dBm;-55 dBm;-63 dBm
-54 dBm;-62 dBm;-45 dBm;-62 dBm
-70 dBm;-53 dBm;-54 dBm;-54 dBm
-54 dBm;-54 dBm;-63 dBm;-43 dBm
-63 dBm;-62 dBm;-54 dBm;-44 dBm
-54 dBm;-71 dBm;-44 dBm;-55 dBm
-52 dBm;-55 dBm;-54 dBm;-63 dBm
-54 dBm;-62 dBm;-63 dBm;-62 dBm
-56 dBm;-72 dBm;-53 dBm;-62 dBm
-52 dBm;-70 dBm;-46 dBm;-54 dBm
-53 dBm;-54 dBm;-54 dBm;-54 dBm
-54 dBm;-61 dBm;-63 dBm;-61 dBm
-70 dBm;-55 dBm;-54 dBm;-63 dBm
-70 dBm;-55 dBm;-45 dBm;-52 dBm
-54 dBm;-63 dBm;-55 dBm;-54 dBm
-55 dBm;-70 dBm;-63 dBm;-55 dBm
-55 dBm;-54 dBm;-55 dBm;-54 dBm
-63 dBm;-56 dBm;-45 dBm;-54 dBm
-54 dBm;-62 dBm;-56 dBm;-54 dBm
-54 dBm;-53 dBm;-63 dBm;-44 dBm
-55 dBm;-52 dBm;-54 dBm;-54 dBm
-70 dBm;-51 dBm;-46 dBm;-62 dBm
-71 dBm;-51 dBm;-63 dBm;-54 dBm
-70 dBm;-71 dBm;-55 dBm;-44 dBm
-70 dBm;-51 dBm;-46 dBm;-54 dBm
-55 dBm;-54 dBm;-53 dBm;-62 dBm
-55 dBm;-62 dBm;-54 dBm;-44 dBm
-53 dBm;-53 dBm;-55 dBm;-55 dBm
-54 dBm;-71 dBm;-53 dBm;-63 dBm
-55 dBm;-54 dBm;-63 dBm;-54 dBm
-70 dBm;-55 dBm;-54 dBm;-43 dBm
-54 dBm;-62 dBm;-46 dBm;-55 dBm
-63 dBm;-62 dBm;-55 dBm;-62 dBm
-55 dBm;-61 dBm;-63 dBm;-62 dBm
-70 dBm;-62 dBm;-55 dBm;-62 dBm
-55 dBm;-62 dBm;-54 dBm;-62 dBm
-63 dBm;-61 dBm;-51 dBm;-61 dBm
-54 dBm;-54 dBm;-46 dBm;-54 dBm
-55 dBm;-70 dBm;-54 dBm;-44 dBm
-54 dBm;-55 dBm;-63 dBm;-54 dBm
-71 dBm;-62 dBm;-54 dBm;-62 dBm
-71 dBm;-72 dBm;-46 dBm;-54 dBm
-70 dBm;-54 dBm;-55 dBm;-44 dBm
-53 dBm;-62 dBm;-64 dBm;-54 dBm
-53 dBm;-52 dBm;-55 dBm;-63 dBm
-54 dBm;-52 dBm;-46 dBm;-53 dBm
-54 dBm;-53 dBm;-54 dBm;-44 dBm
-63 dBm;-71 dBm;-63 dBm;-55 dBm
-55 dBm;-63 dBm;-54 dBm;-55 dBm
-71 dBm;-54 dBm;-46 dBm;-43 dBm
-54 dBm;-54 dBm;-54 dBm;-54 dBm
-53 dBm;-52 dBm;-55 dBm;-55 dBm
-64 dBm;-54 dBm;-64 dBm;-44 dBm
-54 dBm;-52 dBm;-55 dBm;-53 dBm
-70 dBm;-70 dBm;-55 dBm;-53 dBm
-55 dBm;-55 dBm;-55 dBm;-55 dBm
-63 dBm;-55 dBm;-46 dBm;-55 dBm
-54 dBm;-63 dBm;-55 dBm;-44 dBm
-55 dBm;-71 dBm;-54 dBm;-55 dBm
-70 dBm;-55 dBm;-54 dBm;-63 dBm
-55 dBm;-62 dBm;-63 dBm;-55 dBm
-63 dBm;-54 dBm;-54 dBm;-44 dBm
-55 dBm;-71 dBm;-46 dBm;-55 dBm
-70 dBm;-55 dBm;-55 dBm;-63 dBm
-54 dBm;-63 dBm;-63 dBm;-55 dBm
-63 dBm;-54 dBm;-45 dBm;-55 dBm
-55 dBm;-55 dBm;-55 dBm;-45 dBm
-55 dBm;-54 dBm;-55 dBm;-54 dBm
-70 dBm;-71 dBm;-54 dBm;-62 dBm
-54 dBm;-70 dBm;-55 dBm;-54 dBm
-55 dBm;-70 dBm;-55 dBm;-44 dBm
-63 dBm;-52 dBm;-55 dBm;-54 dBm
-54 dBm;-63 dBm;-54 dBm;-62 dBm
-54 dBm;-53 dBm;-63 dBm;-55 dBm
-71 dBm;-53 dBm;-62 dBm;-44 dBm
-54 dBm;-53 dBm;-54 dBm;-54 dBm
-63 dBm;-54 dBm;-45 dBm;-63 dBm
-55 dBm;-53 dBm;-54 dBm;-55 dBm
-71 dBm;-72 dBm;-51 dBm;-54 dBm
-55 dBm;-71 dBm;-54 dBm;-45 dBm
-63 dBm;-71 dBm;-63 dBm;-55 dBm
-55 dBm;-70 dBm;-54 dBm;-63 dBm
-71 dBm;-71 dBm;-46 dBm;-54 dBm
-55 dBm;-71 dBm;-55 dBm;-45 dBm
-63 dBm;-55 dBm;-55 dBm;-54 dBm
-55 dBm;-53 dBm;-54 dBm;-63 dBm
-53 dBm;-63 dBm;-64 dBm;-54 dBm
-54 dBm;-71 dBm;-54 dBm;-45 dBm
-54 dBm;-54 dBm;-43 dBm;-54 dBm
-71 dBm;-55 dBm;-52 dBm;-62 dBm
-52 dBm;-53 dBm;-63 dBm;-55 dBm
-54 dBm;-62 dBm;-54 dBm;-44 dBm
-54 dBm;-62 dBm;-43 dBm;-53 dBm
-54 dBm;-52 dBm;-55 dBm;-63 dBm
-63 dBm;-53 dBm;-64 dBm;-55 dBm
-56 dBm;-53 dBm;-54 dBm;-45 dBm
-54 dBm;-55 dBm;-42 dBm;-55 dBm
-54 dBm;-53 dBm;-53 dBm;-63 dBm
-55 dBm;-71 dBm;-63 dBm;-54 dBm
-54 dBm;-55 dBm;-54 dBm;-45 dBm
-70 dBm;-61 dBm;-54 dBm;-55 dBm
-55 dBm;-55 dBm;-54 dBm;-53 dBm
-63 dBm;-70 dBm;-54 dBm;-54 dBm
-55 dBm;-54 dBm;-54 dBm;-61 dBm
-70 dBm;-62 dBm;-43 dBm;-55 dBm
-54 dBm;-54 dBm;-54 dBm;-45 dBm
-54 dBm;-62 dBm;-63 dBm;-53 dBm
-63 dBm;-54 dBm;-63 dBm;-62 dBm
-52 dBm;-56 dBm;-55 dBm;-54 dBm
-69 dBm;-70 dBm;-43 dBm;-46 dBm
-70 dBm;-70 dBm;-55 dBm;-55 dBm
-55 dBm;-54 dBm;-63 dBm;-63 dBm
-63 dBm;-62 dBm;-55 dBm;-54 dBm
-54 dBm;-54 dBm;-42 dBm;-45 dBm
-54 dBm;-54 dBm;-54 dBm;-54 dBm
-54 dBm;-70 dBm;-63 dBm;-62 dBm
-51 dBm;-55 dBm;-54 dBm;-54 dBm
-70 dBm;-62 dBm;-43 dBm;-45 dBm
-70 dBm;-55 dBm;-54 dBm;-54 dBm
-55 dBm;-70 dBm;-63 dBm;-53 dBm
-63 dBm;-53 dBm;-54 dBm;-63 dBm
-54 dBm;-63 dBm;-43 dBm;-54 dBm
-70 dBm;-54 dBm;-54 dBm;-45 dBm
-71 dBm;-71 dBm;-64 dBm;-54 dBm
-71 dBm;-53 dBm;-55 dBm;-62 dBm
-70 dBm;-62 dBm;-43 dBm;-54 dBm
-54 dBm;-53 dBm;-54 dBm;-45 dBm
-63 dBm;-52 dBm;-63 dBm;-55 dBm
-54 dBm;-54 dBm;-54 dBm;-54 dBm
-55 dBm;-70 dBm;-43 dBm;-55 dBm
-71 dBm;-53 dBm;-54 dBm;-61 dBm
-70 dBm;-54 dBm;-63 dBm;-54 dBm
-55 dBm;-62 dBm;-54 dBm;-45 dBm
-63 dBm;-54 dBm;-44 dBm;-54 dBm
-53 dBm;-71 dBm;-54 dBm;-55 dBm
-71 dBm;-70 dBm;-53 dBm;-54 dBm
-54 dBm;-71 dBm;-55 dBm;-56 dBm
-54 dBm;-69 dBm;-54 dBm;-62 dBm
-63 dBm;-55 dBm;-55 dBm;-54 dBm
-70 dBm;-62 dBm;-63 dBm;-46 dBm
-55 dBm;-54 dBm;-55 dBm;-53 dBm
-55 dBm;-53 dBm;-44 dBm;-55 dBm
-62 dBm;-71 dBm;-53 dBm;-45 dBm
-54 dBm;-71 dBm;-62 dBm;-54 dBm
-71 dBm;-70 dBm;-55 dBm;-54 dBm
-54 dBm;-54 dBm;-44 dBm;-62 dBm
-54 dBm;-62 dBm;-54 dBm;-54 dBm
-63 dBm;-53 dBm;-63 dBm;-45 dBm
-54 dBm;-55 dBm;-55 dBm;-55 dBm
-54 dBm;-55 dBm;-54 dBm;-62 dBm
-70 dBm;-72 dBm;-55 dBm;-52 dBm
-54 dBm;-55 dBm;-55 dBm;-45 dBm
-63 dBm;-62 dBm;-44 dBm;-54 dBm
-55 dBm;-55 dBm;-55 dBm;-54 dBm
-71 dBm;-62 dBm;-64 dBm;-62 dBm
-55 dBm;-72 dBm;-54 dBm;-55 dBm
-54 dBm;-54 dBm;-44 dBm;-45 dBm
-63 dBm;-62 dBm;-55 dBm;-54 dBm
-55 dBm;-54 dBm;-54 dBm;-63 dBm
-71 dBm;-71 dBm;-54 dBm;-54 dBm
-54 dBm;-70 dBm;-63 dBm;-45 dBm
-63 dBm;-54 dBm;-55 dBm;-54 dBm
-54 dBm;-54 dBm;-55 dBm;-62 dBm
-72 dBm;-61 dBm;-40 dBm;-54 dBm
-54 dBm;-54 dBm;-55 dBm;-46 dBm
-63 dBm;-71 dBm;-54 dBm;-56 dBm
-63 dBm;-52 dBm;-63 dBm;-63 dBm
-54 dBm;-62 dBm;-43 dBm;-54 dBm
-55 dBm;-54 dBm;-54 dBm;-45 dBm
-70 dBm;-55 dBm;-63 dBm;-54 dBm
-53 dBm;-54 dBm;-55 dBm;-54 dBm
-70 dBm;-72 dBm;-44 dBm;-63 dBm
-54 dBm;-55 dBm;-52 dBm;-54 dBm
-63 dBm;-61 dBm;-55 dBm;-46 dBm
-54 dBm;-63 dBm;-54 dBm;-55 dBm
-54 dBm;-62 dBm;-64 dBm;-55 dBm
-50 dBm;-55 dBm;-55 dBm;-55 dBm
-52 dBm;-71 dBm;-44 dBm;-54 dBm
-53 dBm;-52 dBm;-54 dBm;-55 dBm
-54 dBm;-63 dBm;-63 dBm;-62 dBm
-52 dBm;-54 dBm;-54 dBm;-55 dBm
-70 dBm;-72 dBm;-43 dBm;-46 dBm
-54 dBm;-55 dBm;-55 dBm;-54 dBm
-63 dBm;-63 dBm;-54 dBm;-63 dBm
-55 dBm;-62 dBm;-63 dBm;-54 dBm
-70 dBm;-71 dBm;-64 dBm;-45 dBm
-53 dBm;-54 dBm;-44 dBm;-55 dBm
-63 dBm;-62 dBm;-54 dBm;-62 dBm
-55 dBm;-72 dBm;-53 dBm;-54 dBm
-70 dBm;-54 dBm;-54 dBm;-46 dBm
-55 dBm;-61 dBm;-54 dBm;-53 dBm
-54 dBm;-63 dBm;-54 dBm;-62 dBm
-63 dBm;-62 dBm;-56 dBm;-54 dBm
