S1A1(4);S2A1(4);S1F1(4);S2F1(4)
-53 dBm;-53 dBm;-56 dBm;-93 dBm
-52 dBm;-52 dBm;-51 dBm;-93 dBm
-53 dBm;-76 dBm;-51 dBm;-93 dBm
-54 dBm;-53 dBm;-52 dBm;-52 dBm
-54 dBm;-49 dBm;-52 dBm;-51 dBm
-75 dBm;-57 dBm;-52 dBm;-52 dBm
-53 dBm;-76 dBm;-93 dBm;-51 dBm
-55 dBm;-54 dBm;-92 dBm;-50 dBm
-50 dBm;-48 dBm;-92 dBm;-92 dBm
-77 dBm;-56 dBm;-92 dBm;-90 dBm
-76 dBm;-51 dBm;-93 dBm;-92 dBm
-76 dBm;-48 dBm;-93 dBm;-92 dBm
-77 dBm;-52 dBm;-56 dBm;-91 dBm
-77 dBm;-51 dBm;-52 dBm;-90 dBm
-77 dBm;-51 dBm;-52 dBm;-53 dBm
-76 dBm;-52 dBm;-52 dBm;-51 dBm
-77 dBm;-51 dBm;-52 dBm;-52 dBm
-77 dBm;-51 dBm;-52 dBm;-51 dBm
-77 dBm;-51 dBm;-93 dBm;-51 dBm
-76 dBm;-76 dBm;-93 dBm;-92 dBm
-76 dBm;-53 dBm;-55 dBm;-92 dBm
-77 dBm;-72 dBm;-51 dBm;-94 dBm
-77 dBm;-51 dBm;-52 dBm;-92 dBm
-76 dBm;-76 dBm;-53 dBm;-72 dBm
-77 dBm;-54 dBm;-51 dBm;-52 dBm
-54 dBm;-53 dBm;-52 dBm;-52 dBm
-56 dBm;-57 dBm;-93 dBm;-52 dBm
-78 dBm;-78 dBm;-93 dBm;-51 dBm
-53 dBm;-53 dBm;-91 dBm;-51 dBm
-55 dBm;-56 dBm;-91 dBm;-92 dBm
-53 dBm;-49 dBm;-93 dBm;-93 dBm
-53 dBm;-76 dBm;-90 dBm;-94 dBm
-52 dBm;-53 dBm;-55 dBm;-92 dBm
-51 dBm;-53 dBm;-52 dBm;-51 dBm
-51 dBm;-56 dBm;-50 dBm;-51 dBm
-74 dBm;-77 dBm;-51 dBm;-53 dBm
-52 dBm;-53 dBm;-52 dBm;-52 dBm
-56 dBm;-53 dBm;-51 dBm;-52 dBm
-55 dBm;-51 dBm;-92 dBm;-92 dBm
-48 dBm;-53 dBm;-91 dBm;-94 dBm
-56 dBm;-52 dBm;-93 dBm;-91 dBm
-50 dBm;-51 dBm;-90 dBm;-93 dBm
-76 dBm;-76 dBm;-94 dBm;-53 dBm
-53 dBm;-54 dBm;-55 dBm;-53 dBm
-54 dBm;-53 dBm;-52 dBm;-92 dBm
-48 dBm;-53 dBm;-50 dBm;-53 dBm
-48 dBm;-53 dBm;-52 dBm;-52 dBm
-50 dBm;-53 dBm;-52 dBm;-52 dBm
-49 dBm;-53 dBm;-51 dBm;-51 dBm
-76 dBm;-56 dBm;-94 dBm;-51 dBm
-75 dBm;-76 dBm;-91 dBm;-51 dBm
-75 dBm;-53 dBm;-55 dBm;-92 dBm
-52 dBm;-53 dBm;-51 dBm;-92 dBm
-53 dBm;-54 dBm;-50 dBm;-91 dBm
-54 dBm;-52 dBm;-51 dBm;-93 dBm
-53 dBm;-53 dBm;-51 dBm;-91 dBm
-57 dBm;-51 dBm;-52 dBm;-91 dBm
-53 dBm;-76 dBm;-92 dBm;-51 dBm
-75 dBm;-53 dBm;-92 dBm;-50 dBm
-53 dBm;-57 dBm;-90 dBm;-50 dBm
-57 dBm;-78 dBm;-56 dBm;-51 dBm
-49 dBm;-52 dBm;-51 dBm;-51 dBm
-56 dBm;-49 dBm;-52 dBm;-91 dBm
-49 dBm;-77 dBm;-50 dBm;-90 dBm
-57 dBm;-52 dBm;-52 dBm;-92 dBm
-51 dBm;-57 dBm;-51 dBm;-91 dBm
-77 dBm;-76 dBm;-95 dBm;-94 dBm
-77 dBm;-53 dBm;-94 dBm;-51 dBm
-77 dBm;-50 dBm;-93 dBm;-54 dBm
-76 dBm;-78 dBm;-55 dBm;-50 dBm
-76 dBm;-54 dBm;-51 dBm;-52 dBm
-76 dBm;-52 dBm;-93 dBm;-72 dBm
-76 dBm;-52 dBm;-54 dBm;-49 dBm
-76 dBm;-53 dBm;-56 dBm;-91 dBm
-77 dBm;-77 dBm;-53 dBm;-53 dBm
-77 dBm;-77 dBm;-53 dBm;-53 dBm
-76 dBm;-78 dBm;-53 dBm;-52 dBm
-76 dBm;-77 dBm;-52 dBm;-52 dBm
-76 dBm;-77 dBm;-51 dBm;-52 dBm
-77 dBm;-52 dBm;-90 dBm;-52 dBm
-77 dBm;-53 dBm;-91 dBm;-90 dBm
-55 dBm;-53 dBm;-91 dBm;-53 dBm
-52 dBm;-47 dBm;-90 dBm;-72 dBm
-75 dBm;-76 dBm;-91 dBm;-49 dBm
-75 dBm;-75 dBm;-92 dBm;-95 dBm
-76 dBm;-53 dBm;-55 dBm;-48 dBm
-76 dBm;-52 dBm;-51 dBm;-92 dBm
-76 dBm;-77 dBm;-50 dBm;-53 dBm
-77 dBm;-77 dBm;-51 dBm;-69 dBm
-77 dBm;-53 dBm;-51 dBm;-50 dBm
-75 dBm;-72 dBm;-53 dBm;-50 dBm
-76 dBm;-52 dBm;-92 dBm;-51 dBm
-76 dBm;-77 dBm;-93 dBm;-50 dBm
-76 dBm;-54 dBm;-55 dBm;-52 dBm
-77 dBm;-53 dBm;-51 dBm;-90 dBm
-76 dBm;-51 dBm;-52 dBm;-91 dBm
-76 dBm;-76 dBm;-51 dBm;-91 dBm
-76 dBm;-53 dBm;-53 dBm;-92 dBm
-76 dBm;-53 dBm;-50 dBm;-51 dBm
-55 dBm;-53 dBm;-91 dBm;-51 dBm
-51 dBm;-72 dBm;-57 dBm;-52 dBm
-51 dBm;-51 dBm;-50 dBm;-52 dBm
-51 dBm;-51 dBm;-51 dBm;-51 dBm
-52 dBm;-51 dBm;-51 dBm;-92 dBm
-76 dBm;-77 dBm;-52 dBm;-93 dBm
-53 dBm;-54 dBm;-50 dBm;-91 dBm
-57 dBm;-53 dBm;-91 dBm;-91 dBm
-52 dBm;-51 dBm;-91 dBm;-92 dBm
-77 dBm;-52 dBm;-91 dBm;-52 dBm
-53 dBm;-76 dBm;-93 dBm;-51 dBm
-56 dBm;-51 dBm;-93 dBm;-50 dBm
-49 dBm;-76 dBm;-55 dBm;-51 dBm
-77 dBm;-75 dBm;-51 dBm;-52 dBm
-53 dBm;-53 dBm;-55 dBm;-91 dBm
-56 dBm;-53 dBm;-51 dBm;-94 dBm
-52 dBm;-53 dBm;-51 dBm;-92 dBm
-53 dBm;-51 dBm;-52 dBm;-51 dBm
-52 dBm;-78 dBm;-91 dBm;-50 dBm
-52 dBm;-54 dBm;-93 dBm;-53 dBm
-52 dBm;-53 dBm;-92 dBm;-51 dBm
-76 dBm;-51 dBm;-91 dBm;-51 dBm
-52 dBm;-78 dBm;-92 dBm;-93 dBm
-55 dBm;-53 dBm;-55 dBm;-89 dBm
-49 dBm;-51 dBm;-53 dBm;-92 dBm
-78 dBm;-78 dBm;-52 dBm;-72 dBm
-53 dBm;-52 dBm;-51 dBm;-52 dBm
-53 dBm;-72 dBm;-50 dBm;-50 dBm
-53 dBm;-51 dBm;-52 dBm;-51 dBm
-53 dBm;-77 dBm;-91 dBm;-53 dBm
-56 dBm;-53 dBm;-95 dBm;-51 dBm
-48 dBm;-53 dBm;-92 dBm;-91 dBm
-77 dBm;-51 dBm;-90 dBm;-93 dBm
-53 dBm;-77 dBm;-56 dBm;-94 dBm
-53 dBm;-53 dBm;-50 dBm;-92 dBm
-54 dBm;-53 dBm;-52 dBm;-92 dBm
-53 dBm;-56 dBm;-51 dBm;-52 dBm
-53 dBm;-77 dBm;-52 dBm;-51 dBm
-55 dBm;-53 dBm;-51 dBm;-51 dBm
-48 dBm;-53 dBm;-92 dBm;-51 dBm
-77 dBm;-53 dBm;-93 dBm;-53 dBm
-52 dBm;-52 dBm;-91 dBm;-92 dBm
-55 dBm;-53 dBm;-92 dBm;-93 dBm
-53 dBm;-56 dBm;-91 dBm;-93 dBm
-54 dBm;-76 dBm;-51 dBm;-92 dBm
-53 dBm;-52 dBm;-51 dBm;-70 dBm
-52 dBm;-57 dBm;-52 dBm;-52 dBm
-54 dBm;-77 dBm;-51 dBm;-93 dBm
-56 dBm;-52 dBm;-52 dBm;-54 dBm
-75 dBm;-52 dBm;-91 dBm;-71 dBm
-76 dBm;-52 dBm;-96 dBm;-52 dBm
-57 dBm;-77 dBm;-92 dBm;-51 dBm
-58 dBm;-53 dBm;-56 dBm;-91 dBm
-57 dBm;-53 dBm;-55 dBm;-93 dBm
-57 dBm;-69 dBm;-51 dBm;-54 dBm
-57 dBm;-53 dBm;-51 dBm;-53 dBm
-56 dBm;-52 dBm;-51 dBm;-91 dBm
-54 dBm;-53 dBm;-52 dBm;-53 dBm
-57 dBm;-76 dBm;-51 dBm;-72 dBm
-57 dBm;-54 dBm;-53 dBm;-51 dBm
-56 dBm;-53 dBm;-55 dBm;-48 dBm
-56 dBm;-52 dBm;-56 dBm;-48 dBm
-56 dBm;-52 dBm;-51 dBm;-48 dBm
-79 dBm;-54 dBm;-52 dBm;-48 dBm
-53 dBm;-51 dBm;-50 dBm;-50 dBm
-53 dBm;-53 dBm;-52 dBm;-91 dBm
-77 dBm;-52 dBm;-52 dBm;-92 dBm
-53 dBm;-77 dBm;-91 dBm;-93 dBm
-52 dBm;-52 dBm;-92 dBm;-93 dBm
-53 dBm;-52 dBm;-92 dBm;-93 dBm
-53 dBm;-51 dBm;-92 dBm;-51 dBm
-52 dBm;-75 dBm;-92 dBm;-52 dBm
-54 dBm;-54 dBm;-55 dBm;-51 dBm
-55 dBm;-53 dBm;-51 dBm;-52 dBm
-53 dBm;-57 dBm;-52 dBm;-52 dBm
-53 dBm;-76 dBm;-51 dBm;-95 dBm
-53 dBm;-53 dBm;-52 dBm;-92 dBm
-52 dBm;-53 dBm;-51 dBm;-91 dBm
-78 dBm;-52 dBm;-90 dBm;-50 dBm
-52 dBm;-52 dBm;-93 dBm;-51 dBm
-55 dBm;-50 dBm;-91 dBm;-52 dBm
-49 dBm;-78 dBm;-90 dBm;-54 dBm
-78 dBm;-53 dBm;-93 dBm;-51 dBm
-52 dBm;-69 dBm;-90 dBm;-92 dBm
-56 dBm;-56 dBm;-91 dBm;-51 dBm
-53 dBm;-56 dBm;-56 dBm;-51 dBm
-79 dBm;-50 dBm;-51 dBm;-92 dBm
-52 dBm;-47 dBm;-51 dBm;-54 dBm
-56 dBm;-49 dBm;-52 dBm;-72 dBm
-57 dBm;-76 dBm;-53 dBm;-48 dBm
-76 dBm;-53 dBm;-52 dBm;-48 dBm
-53 dBm;-76 dBm;-93 dBm;-49 dBm
-53 dBm;-52 dBm;-93 dBm;-48 dBm
-53 dBm;-76 dBm;-92 dBm;-51 dBm
-54 dBm;-53 dBm;-93 dBm;-92 dBm
-52 dBm;-50 dBm;-92 dBm;-93 dBm
-55 dBm;-77 dBm;-92 dBm;-51 dBm
-54 dBm;-52 dBm;-56 dBm;-51 dBm
-50 dBm;-53 dBm;-48 dBm;-50 dBm
-56 dBm;-56 dBm;-90 dBm;-50 dBm
-50 dBm;-50 dBm;-52 dBm;-51 dBm
-77 dBm;-57 dBm;-57 dBm;-92 dBm
-53 dBm;-69 dBm;-50 dBm;-93 dBm
-56 dBm;-52 dBm;-91 dBm;-92 dBm
-50 dBm;-76 dBm;-53 dBm;-90 dBm
-52 dBm;-54 dBm;-56 dBm;-69 dBm
-50 dBm;-53 dBm;-56 dBm;-52 dBm
-79 dBm;-76 dBm;-56 dBm;-52 dBm
-52 dBm;-77 dBm;-55 dBm;-51 dBm
-53 dBm;-70 dBm;-56 dBm;-52 dBm
-55 dBm;-52 dBm;-55 dBm;-53 dBm
-51 dBm;-77 dBm;-56 dBm;-89 dBm
-51 dBm;-53 dBm;-56 dBm;-95 dBm
-51 dBm;-52 dBm;-56 dBm;-93 dBm
-51 dBm;-49 dBm;-56 dBm;-93 dBm
-55 dBm;-77 dBm;-54 dBm;-93 dBm
-52 dBm;-53 dBm;-50 dBm;-93 dBm
-76 dBm;-54 dBm;-91 dBm;-51 dBm
-77 dBm;-76 dBm;-53 dBm;-51 dBm
-52 dBm;-53 dBm;-55 dBm;-51 dBm
-57 dBm;-53 dBm;-49 dBm;-52 dBm
-58 dBm;-52 dBm;-91 dBm;-53 dBm
-52 dBm;-53 dBm;-54 dBm;-93 dBm
-77 dBm;-54 dBm;-55 dBm;-92 dBm
-51 dBm;-53 dBm;-55 dBm;-94 dBm
-53 dBm;-76 dBm;-55 dBm;-92 dBm
-54 dBm;-53 dBm;-56 dBm;-91 dBm
-54 dBm;-53 dBm;-54 dBm;-50 dBm
-76 dBm;-50 dBm;-55 dBm;-51 dBm
-54 dBm;-78 dBm;-55 dBm;-51 dBm
-53 dBm;-77 dBm;-56 dBm;-53 dBm
-54 dBm;-53 dBm;-54 dBm;-53 dBm
-54 dBm;-52 dBm;-55 dBm;-92 dBm
-53 dBm;-53 dBm;-54 dBm;-92 dBm
-53 dBm;-53 dBm;-55 dBm;-92 dBm
-54 dBm;-54 dBm;-49 dBm;-93 dBm
-57 dBm;-52 dBm;-53 dBm;-52 dBm
-51 dBm;-77 dBm;-56 dBm;-53 dBm
-78 dBm;-77 dBm;-50 dBm;-52 dBm
-53 dBm;-52 dBm;-52 dBm;-51 dBm
-54 dBm;-56 dBm;-53 dBm;-52 dBm
-52 dBm;-76 dBm;-56 dBm;-92 dBm
-52 dBm;-53 dBm;-52 dBm;-93 dBm
-53 dBm;-56 dBm;-51 dBm;-91 dBm
-54 dBm;-77 dBm;-51 dBm;-92 dBm
-54 dBm;-52 dBm;-51 dBm;-51 dBm
-50 dBm;-53 dBm;-51 dBm;-51 dBm
-54 dBm;-54 dBm;-92 dBm;-51 dBm
-51 dBm;-56 dBm;-91 dBm;-51 dBm
-53 dBm;-56 dBm;-93 dBm;-51 dBm
-78 dBm;-76 dBm;-55 dBm;-93 dBm
-54 dBm;-76 dBm;-50 dBm;-92 dBm
-55 dBm;-75 dBm;-51 dBm;-91 dBm
-51 dBm;-54 dBm;-52 dBm;-93 dBm
-50 dBm;-53 dBm;-52 dBm;-92 dBm
-78 dBm;-53 dBm;-52 dBm;-91 dBm
-53 dBm;-53 dBm;-81 dBm;-50 dBm
-55 dBm;-69 dBm;-54 dBm;-53 dBm
-51 dBm;-56 dBm;-51 dBm;-51 dBm
-77 dBm;-77 dBm;-51 dBm;-50 dBm
-53 dBm;-53 dBm;-52 dBm;-50 dBm
-57 dBm;-53 dBm;-52 dBm;-94 dBm
-50 dBm;-52 dBm;-52 dBm;-92 dBm
-78 dBm;-53 dBm;-93 dBm;-92 dBm
-53 dBm;-57 dBm;-93 dBm;-91 dBm
-57 dBm;-76 dBm;-91 dBm;-91 dBm
-56 dBm;-53 dBm;-92 dBm;-51 dBm
-77 dBm;-54 dBm;-54 dBm;-51 dBm
-53 dBm;-53 dBm;-51 dBm;-50 dBm
-53 dBm;-52 dBm;-53 dBm;-53 dBm
-53 dBm;-52 dBm;-52 dBm;-52 dBm
-53 dBm;-52 dBm;-50 dBm;-92 dBm
-52 dBm;-75 dBm;-51 dBm;-91 dBm
-53 dBm;-53 dBm;-94 dBm;-92 dBm
-52 dBm;-54 dBm;-92 dBm;-93 dBm
-57 dBm;-53 dBm;-91 dBm;-53 dBm
-49 dBm;-49 dBm;-55 dBm;-52 dBm
-49 dBm;-77 dBm;-52 dBm;-92 dBm
-78 dBm;-76 dBm;-52 dBm;-51 dBm
-53 dBm;-52 dBm;-51 dBm;-51 dBm
-57 dBm;-77 dBm;-52 dBm;-53 dBm
-57 dBm;-52 dBm;-52 dBm;-53 dBm
-57 dBm;-48 dBm;-92 dBm;-68 dBm
-78 dBm;-78 dBm;-91 dBm;-49 dBm
-52 dBm;-54 dBm;-93 dBm;-51 dBm
