S1A1(10);S2A1(10);S1L2(10);S2L2(10)
-54 dBm;-67 dBm;-51 dBm;-62 dBm
-55 dBm;-71 dBm;-53 dBm;-54 dBm
-54 dBm;-71 dBm;-63 dBm;-54 dBm
-53 dBm;-71 dBm;-53 dBm;-54 dBm
-53 dBm;-62 dBm;-52 dBm;-62 dBm
-68 dBm;-62 dBm;-53 dBm;-48 dBm
-69 dBm;-52 dBm;-52 dBm;-52 dBm
-70 dBm;-51 dBm;-52 dBm;-54 dBm
-70 dBm;-70 dBm;-82 dBm;-84 dBm
-70 dBm;-53 dBm;-82 dBm;-85 dBm
-66 dBm;-61 dBm;-82 dBm;-84 dBm
-69 dBm;-54 dBm;-54 dBm;-84 dBm
-71 dBm;-53 dBm;-63 dBm;-54 dBm
-62 dBm;-71 dBm;-53 dBm;-60 dBm
-53 dBm;-69 dBm;-62 dBm;-54 dBm
-68 dBm;-71 dBm;-61 dBm;-61 dBm
-67 dBm;-54 dBm;-51 dBm;-53 dBm
-53 dBm;-62 dBm;-54 dBm;-55 dBm
-51 dBm;-54 dBm;-53 dBm;-54 dBm
-51 dBm;-54 dBm;-52 dBm;-82 dBm
-52 dBm;-53 dBm;-83 dBm;-52 dBm
-53 dBm;-61 dBm;-83 dBm;-54 dBm
-54 dBm;-61 dBm;-62 dBm;-81 dBm
-52 dBm;-62 dBm;-52 dBm;-54 dBm
-53 dBm;-62 dBm;-53 dBm;-55 dBm
-50 dBm;-61 dBm;-52 dBm;-54 dBm
-53 dBm;-53 dBm;-50 dBm;-55 dBm
-62 dBm;-54 dBm;-52 dBm;-52 dBm
-53 dBm;-53 dBm;-63 dBm;-54 dBm
-70 dBm;-71 dBm;-54 dBm;-52 dBm
-54 dBm;-53 dBm;-84 dBm;-52 dBm
-63 dBm;-53 dBm;-54 dBm;-53 dBm
-54 dBm;-74 dBm;-55 dBm;-53 dBm
-52 dBm;-53 dBm;-55 dBm;-52 dBm
-51 dBm;-63 dBm;-56 dBm;-52 dBm
-70 dBm;-53 dBm;-62 dBm;-62 dBm
-71 dBm;-70 dBm;-54 dBm;-54 dBm
