S1A1;S2A1;S1D1;S2D1
-54 dBm;-51 dBm;-56 dBm;-50 dBm
-52 dBm;-50 dBm;-50 dBm;-51 dBm
-50 dBm;-51 dBm;-51 dBm;-51 dBm
-51 dBm;-52 dBm;-77 dBm;-51 dBm
-51 dBm;-51 dBm;-51 dBm;-51 dBm
-55 dBm;-50 dBm;-56 dBm;-51 dBm
-51 dBm;-52 dBm;-55 dBm;-50 dBm
-51 dBm;-52 dBm;-52 dBm;-51 dBm
-51 dBm;-52 dBm;-51 dBm;-50 dBm
-51 dBm;-51 dBm;-77 dBm;-51 dBm
-56 dBm;-52 dBm;-51 dBm;-79 dBm
-51 dBm;-52 dBm;-55 dBm;-51 dBm
-51 dBm;-52 dBm;-52 dBm;-52 dBm
-54 dBm;-51 dBm;-51 dBm;-52 dBm
-51 dBm;-50 dBm;-51 dBm;-51 dBm
-73 dBm;-51 dBm;-51 dBm;-51 dBm
-52 dBm;-51 dBm;-51 dBm;-51 dBm
-55 dBm;-50 dBm;-51 dBm;-80 dBm
-51 dBm;-51 dBm;-73 dBm;-51 dBm
-73 dBm;-52 dBm;-56 dBm;-51 dBm
-52 dBm;-51 dBm;-51 dBm;-80 dBm
-55 dBm;-51 dBm;-78 dBm;-52 dBm
-51 dBm;-51 dBm;-50 dBm;-51 dBm
-73 dBm;-50 dBm;-55 dBm;-51 dBm
-51 dBm;-51 dBm;-51 dBm;-78 dBm
-51 dBm;-51 dBm;-51 dBm;-51 dBm
-55 dBm;-52 dBm;-51 dBm;-51 dBm
-50 dBm;-51 dBm;-50 dBm;-51 dBm
-52 dBm;-51 dBm;-51 dBm;-51 dBm
-51 dBm;-55 dBm;-79 dBm;-52 dBm
-51 dBm;-50 dBm;-51 dBm;-51 dBm
-56 dBm;-50 dBm;-54 dBm;-79 dBm
-50 dBm;-51 dBm;-51 dBm;-52 dBm
-51 dBm;-51 dBm;-79 dBm;-51 dBm
-56 dBm;-52 dBm;-52 dBm;-51 dBm
-51 dBm;-51 dBm;-55 dBm;-51 dBm
-51 dBm;-52 dBm;-51 dBm;-52 dBm
-52 dBm;-52 dBm;-78 dBm;-51 dBm
-50 dBm;-51 dBm;-51 dBm;-80 dBm
-55 dBm;-51 dBm;-55 dBm;-52 dBm
-50 dBm;-51 dBm;-51 dBm;-51 dBm
-51 dBm;-72 dBm;-79 dBm;-51 dBm
-54 dBm;-51 dBm;-51 dBm;-50 dBm
-51 dBm;-73 dBm;-56 dBm;-80 dBm
-51 dBm;-51 dBm;-50 dBm;-51 dBm
-55 dBm;-50 dBm;-51 dBm;-51 dBm
-56 dBm;-73 dBm;-51 dBm;-52 dBm
-51 dBm;-51 dBm;-51 dBm;-52 dBm
-51 dBm;-51 dBm;-79 dBm;-51 dBm
-55 dBm;-51 dBm;-51 dBm;-51 dBm
-50 dBm;-52 dBm;-55 dBm;-51 dBm
-52 dBm;-52 dBm;-51 dBm;-51 dBm
-51 dBm;-51 dBm;-51 dBm;-51 dBm
-56 dBm;-51 dBm;-51 dBm;-51 dBm
-53 dBm;-73 dBm;-51 dBm;-51 dBm
-50 dBm;-51 dBm;-51 dBm;-51 dBm
-51 dBm;-52 dBm;-54 dBm;-80 dBm
-56 dBm;-50 dBm;-51 dBm;-51 dBm
-51 dBm;-50 dBm;-51 dBm;-50 dBm
-51 dBm;-51 dBm;-51 dBm;-51 dBm
-55 dBm;-51 dBm;-51 dBm;-52 dBm
-51 dBm;-51 dBm;-51 dBm;-51 dBm
-51 dBm;-51 dBm;-79 dBm;-50 dBm
-51 dBm;-50 dBm;-51 dBm;-52 dBm
-56 dBm;-52 dBm;-56 dBm;-52 dBm
-52 dBm;-51 dBm;-50 dBm;-51 dBm
-51 dBm;-51 dBm;-51 dBm;-52 dBm
-73 dBm;-52 dBm;-79 dBm;-51 dBm
-52 dBm;-51 dBm;-51 dBm;-51 dBm
-56 dBm;-52 dBm;-54 dBm;-51 dBm
-51 dBm;-51 dBm;-51 dBm;-50 dBm
-73 dBm;-51 dBm;-79 dBm;-51 dBm
-52 dBm;-51 dBm;-51 dBm;-52 dBm
-56 dBm;-51 dBm;-56 dBm;-51 dBm
-51 dBm;-50 dBm;-51 dBm;-52 dBm
-51 dBm;-51 dBm;-51 dBm;-51 dBm
-73 dBm;-51 dBm;-51 dBm;-51 dBm
-51 dBm;-52 dBm;-51 dBm;-51 dBm
-56 dBm;-52 dBm;-52 dBm;-52 dBm
-51 dBm;-51 dBm;-78 dBm;-51 dBm
-73 dBm;-51 dBm;-50 dBm;-78 dBm
-51 dBm;-51 dBm;-55 dBm;-51 dBm
-56 dBm;-52 dBm;-51 dBm;-50 dBm
-51 dBm;-52 dBm;-51 dBm;-51 dBm
-73 dBm;-51 dBm;-51 dBm;-51 dBm
-52 dBm;-51 dBm;-51 dBm;-51 dBm
-56 dBm;-51 dBm;-51 dBm;-77 dBm
-51 dBm;-74 dBm;-79 dBm;-51 dBm
-52 dBm;-51 dBm;-51 dBm;-51 dBm
-52 dBm;-52 dBm;-56 dBm;-51 dBm
-72 dBm;-51 dBm;-51 dBm;-51 dBm
-51 dBm;-50 dBm;-53 dBm;-76 dBm
-56 dBm;-51 dBm;-55 dBm;-51 dBm
-51 dBm;-51 dBm;-51 dBm;-51 dBm
-50 dBm;-51 dBm;-51 dBm;-77 dBm
-55 dBm;-51 dBm;-56 dBm;-51 dBm
-50 dBm;-50 dBm;-51 dBm;-50 dBm
-51 dBm;-51 dBm;-51 dBm;-50 dBm
-55 dBm;-52 dBm;-51 dBm;-50 dBm
-51 dBm;-51 dBm;-54 dBm;-50 dBm
-51 dBm;-51 dBm;-51 dBm;-52 dBm
-51 dBm;-50 dBm;-51 dBm;-52 dBm
-51 dBm;-52 dBm;-55 dBm;-77 dBm
-51 dBm;-51 dBm;-50 dBm;-52 dBm
-51 dBm;-51 dBm;-80 dBm;-51 dBm
-51 dBm;-51 dBm;-51 dBm;-51 dBm
-56 dBm;-50 dBm;-54 dBm;-50 dBm
-50 dBm;-51 dBm;-52 dBm;-50 dBm
-50 dBm;-51 dBm;-50 dBm;-52 dBm
-56 dBm;-51 dBm;-81 dBm;-52 dBm
-51 dBm;-50 dBm;-51 dBm;-52 dBm
-51 dBm;-52 dBm;-55 dBm;-50 dBm
-51 dBm;-51 dBm;-51 dBm;-77 dBm
-51 dBm;-51 dBm;-52 dBm;-52 dBm
-52 dBm;-51 dBm;-55 dBm;-51 dBm
-52 dBm;-51 dBm;-52 dBm;-52 dBm
-51 dBm;-51 dBm;-80 dBm;-76 dBm
-56 dBm;-51 dBm;-51 dBm;-52 dBm
-51 dBm;-51 dBm;-57 dBm;-51 dBm
-52 dBm;-52 dBm;-51 dBm;-51 dBm
-51 dBm;-51 dBm;-51 dBm;-50 dBm
-55 dBm;-50 dBm;-78 dBm;-51 dBm
-51 dBm;-51 dBm;-52 dBm;-51 dBm
-51 dBm;-52 dBm;-52 dBm;-51 dBm
-51 dBm;-51 dBm;-55 dBm;-51 dBm
-51 dBm;-51 dBm;-51 dBm;-77 dBm
-51 dBm;-51 dBm;-76 dBm;-51 dBm
-51 dBm;-51 dBm;-51 dBm;-52 dBm
-56 dBm;-51 dBm;-55 dBm;-51 dBm
-51 dBm;-51 dBm;-51 dBm;-51 dBm
-51 dBm;-51 dBm;-77 dBm;-51 dBm
-55 dBm;-51 dBm;-51 dBm;-51 dBm
-51 dBm;-51 dBm;-56 dBm;-76 dBm
-50 dBm;-51 dBm;-51 dBm;-52 dBm
-51 dBm;-51 dBm;-77 dBm;-51 dBm
-52 dBm;-52 dBm;-51 dBm;-76 dBm
-51 dBm;-50 dBm;-56 dBm;-51 dBm
-50 dBm;-51 dBm;-52 dBm;-52 dBm
