S1A1(3);S2A1(3);S1E1(3);S2E1(3)
-57 dBm;-53 dBm;-53 dBm;-55 dBm
-83 dBm;-85 dBm;-54 dBm;-71 dBm
-54 dBm;-54 dBm;-58 dBm;-55 dBm
-57 dBm;-71 dBm;-57 dBm;-54 dBm
-83 dBm;-54 dBm;-54 dBm;-54 dBm
-55 dBm;-83 dBm;-55 dBm;-52 dBm
-57 dBm;-54 dBm;-55 dBm;-52 dBm
-55 dBm;-55 dBm;-55 dBm;-54 dBm
-55 dBm;-69 dBm;-57 dBm;-54 dBm
-54 dBm;-52 dBm;-58 dBm;-54 dBm
-54 dBm;-55 dBm;-57 dBm;-54 dBm
-83 dBm;-52 dBm;-57 dBm;-56 dBm
-55 dBm;-52 dBm;-54 dBm;-71 dBm
-57 dBm;-50 dBm;-54 dBm;-55 dBm
-57 dBm;-54 dBm;-53 dBm;-55 dBm
-53 dBm;-83 dBm;-55 dBm;-55 dBm
-82 dBm;-53 dBm;-53 dBm;-54 dBm
-81 dBm;-52 dBm;-53 dBm;-52 dBm
-54 dBm;-83 dBm;-51 dBm;-54 dBm
-55 dBm;-55 dBm;-53 dBm;-69 dBm
-54 dBm;-68 dBm;-57 dBm;-50 dBm
-54 dBm;-54 dBm;-57 dBm;-72 dBm
-55 dBm;-51 dBm;-58 dBm;-53 dBm
-54 dBm;-54 dBm;-55 dBm;-52 dBm
-53 dBm;-54 dBm;-52 dBm;-70 dBm
-54 dBm;-50 dBm;-54 dBm;-55 dBm
-81 dBm;-80 dBm;-53 dBm;-52 dBm
-55 dBm;-68 dBm;-52 dBm;-54 dBm
-56 dBm;-54 dBm;-55 dBm;-53 dBm
-54 dBm;-54 dBm;-51 dBm;-55 dBm
-83 dBm;-53 dBm;-54 dBm;-54 dBm
-52 dBm;-55 dBm;-54 dBm;-54 dBm
-55 dBm;-54 dBm;-54 dBm;-54 dBm
-55 dBm;-54 dBm;-54 dBm;-68 dBm
-56 dBm;-54 dBm;-52 dBm;-53 dBm
-54 dBm;-54 dBm;-52 dBm;-56 dBm
-54 dBm;-52 dBm;-51 dBm;-55 dBm
-55 dBm;-69 dBm;-54 dBm;-52 dBm
-54 dBm;-54 dBm;-52 dBm;-72 dBm
-55 dBm;-80 dBm;-53 dBm;-53 dBm
-54 dBm;-79 dBm;-58 dBm;-54 dBm
-54 dBm;-55 dBm;-57 dBm;-91 dBm
-54 dBm;-54 dBm;-57 dBm;-55 dBm
-55 dBm;-55 dBm;-54 dBm;-72 dBm
-54 dBm;-53 dBm;-55 dBm;-54 dBm
-54 dBm;-50 dBm;-52 dBm;-55 dBm
-53 dBm;-53 dBm;-55 dBm;-55 dBm
-83 dBm;-69 dBm;-55 dBm;-89 dBm
-54 dBm;-80 dBm;-52 dBm;-54 dBm
-56 dBm;-68 dBm;-49 dBm;-72 dBm
-54 dBm;-54 dBm;-58 dBm;-56 dBm
-54 dBm;-81 dBm;-57 dBm;-52 dBm
-54 dBm;-54 dBm;-57 dBm;-72 dBm
-82 dBm;-68 dBm;-57 dBm;-55 dBm
-53 dBm;-53 dBm;-54 dBm;-88 dBm
-55 dBm;-54 dBm;-53 dBm;-54 dBm
-54 dBm;-54 dBm;-52 dBm;-72 dBm
-80 dBm;-54 dBm;-52 dBm;-52 dBm
-54 dBm;-79 dBm;-53 dBm;-55 dBm
-56 dBm;-54 dBm;-54 dBm;-72 dBm
-54 dBm;-72 dBm;-55 dBm;-55 dBm
-77 dBm;-54 dBm;-55 dBm;-54 dBm
-54 dBm;-79 dBm;-53 dBm;-71 dBm
-58 dBm;-54 dBm;-55 dBm;-55 dBm
-58 dBm;-68 dBm;-53 dBm;-55 dBm
-58 dBm;-54 dBm;-51 dBm;-72 dBm
-57 dBm;-80 dBm;-54 dBm;-55 dBm
-54 dBm;-69 dBm;-57 dBm;-54 dBm
-55 dBm;-68 dBm;-58 dBm;-55 dBm
-54 dBm;-54 dBm;-57 dBm;-52 dBm
-58 dBm;-55 dBm;-57 dBm;-54 dBm
-54 dBm;-54 dBm;-54 dBm;-71 dBm
-83 dBm;-54 dBm;-54 dBm;-53 dBm
-52 dBm;-52 dBm;-57 dBm;-53 dBm
-57 dBm;-71 dBm;-55 dBm;-71 dBm
-58 dBm;-54 dBm;-55 dBm;-54 dBm
-57 dBm;-54 dBm;-56 dBm;-53 dBm
-58 dBm;-80 dBm;-54 dBm;-72 dBm
-54 dBm;-55 dBm;-54 dBm;-54 dBm
-53 dBm;-54 dBm;-56 dBm;-53 dBm
-82 dBm;-53 dBm;-54 dBm;-53 dBm
-54 dBm;-57 dBm;-53 dBm;-52 dBm
-57 dBm;-54 dBm;-56 dBm;-55 dBm
-53 dBm;-53 dBm;-54 dBm;-55 dBm
-54 dBm;-53 dBm;-55 dBm;-54 dBm
-55 dBm;-53 dBm;-54 dBm;-72 dBm
-53 dBm;-53 dBm;-52 dBm;-54 dBm
-54 dBm;-54 dBm;-54 dBm;-55 dBm
-82 dBm;-68 dBm;-55 dBm;-55 dBm
-54 dBm;-55 dBm;-56 dBm;-52 dBm
-54 dBm;-54 dBm;-55 dBm;-72 dBm
-55 dBm;-54 dBm;-57 dBm;-53 dBm
-54 dBm;-54 dBm;-58 dBm;-55 dBm
-83 dBm;-56 dBm;-57 dBm;-53 dBm
-55 dBm;-81 dBm;-57 dBm;-54 dBm
-55 dBm;-80 dBm;-58 dBm;-71 dBm
-55 dBm;-80 dBm;-57 dBm;-55 dBm
-56 dBm;-52 dBm;-57 dBm;-53 dBm
-53 dBm;-68 dBm;-54 dBm;-53 dBm
-82 dBm;-50 dBm;-54 dBm;-55 dBm
-54 dBm;-50 dBm;-58 dBm;-54 dBm
-81 dBm;-57 dBm;-54 dBm;-55 dBm
-54 dBm;-57 dBm;-55 dBm;-52 dBm
-54 dBm;-53 dBm;-52 dBm;-55 dBm
-54 dBm;-81 dBm;-54 dBm;-72 dBm
-54 dBm;-81 dBm;-58 dBm;-56 dBm
-54 dBm;-68 dBm;-53 dBm;-54 dBm
-54 dBm;-50 dBm;-54 dBm;-55 dBm
-82 dBm;-58 dBm;-57 dBm;-54 dBm
-54 dBm;-57 dBm;-55 dBm;-55 dBm
-55 dBm;-58 dBm;-54 dBm;-54 dBm
-55 dBm;-52 dBm;-58 dBm;-55 dBm
-55 dBm;-80 dBm;-54 dBm;-55 dBm
-80 dBm;-54 dBm;-55 dBm;-55 dBm
-80 dBm;-54 dBm;-55 dBm;-54 dBm
-55 dBm;-54 dBm;-55 dBm;-69 dBm
-56 dBm;-55 dBm;-55 dBm;-53 dBm
-54 dBm;-51 dBm;-53 dBm;-53 dBm
-81 dBm;-53 dBm;-54 dBm;-55 dBm
-54 dBm;-49 dBm;-54 dBm;-53 dBm
-55 dBm;-51 dBm;-55 dBm;-51 dBm
-53 dBm;-52 dBm;-50 dBm;-55 dBm
-81 dBm;-52 dBm;-57 dBm;-55 dBm
-54 dBm;-52 dBm;-57 dBm;-54 dBm
-56 dBm;-52 dBm;-56 dBm;-69 dBm
-53 dBm;-52 dBm;-58 dBm;-55 dBm
-55 dBm;-69 dBm;-55 dBm;-53 dBm
-82 dBm;-53 dBm;-57 dBm;-54 dBm
-54 dBm;-54 dBm;-57 dBm;-55 dBm
-55 dBm;-53 dBm;-57 dBm;-54 dBm
-57 dBm;-54 dBm;-58 dBm;-53 dBm
-57 dBm;-55 dBm;-57 dBm;-54 dBm
-56 dBm;-68 dBm;-58 dBm;-53 dBm
-57 dBm;-53 dBm;-57 dBm;-53 dBm
-57 dBm;-52 dBm;-57 dBm;-54 dBm
-55 dBm;-52 dBm;-57 dBm;-52 dBm
-79 dBm;-53 dBm;-57 dBm;-54 dBm
-81 dBm;-51 dBm;-57 dBm;-54 dBm
-81 dBm;-79 dBm;-54 dBm;-52 dBm
-54 dBm;-71 dBm;-55 dBm;-54 dBm
-55 dBm;-50 dBm;-54 dBm;-55 dBm
-57 dBm;-51 dBm;-55 dBm;-54 dBm
-55 dBm;-52 dBm;-55 dBm;-54 dBm
-83 dBm;-53 dBm;-55 dBm;-55 dBm
-54 dBm;-53 dBm;-52 dBm;-52 dBm
-58 dBm;-71 dBm;-49 dBm;-90 dBm
-54 dBm;-52 dBm;-55 dBm;-69 dBm
-82 dBm;-51 dBm;-57 dBm;-55 dBm
-53 dBm;-50 dBm;-53 dBm;-55 dBm
-57 dBm;-78 dBm;-54 dBm;-55 dBm
-54 dBm;-54 dBm;-57 dBm;-71 dBm
-54 dBm;-69 dBm;-54 dBm;-53 dBm
-54 dBm;-53 dBm;-55 dBm;-89 dBm
-80 dBm;-52 dBm;-54 dBm;-55 dBm
-54 dBm;-52 dBm;-58 dBm;-55 dBm
-57 dBm;-54 dBm;-54 dBm;-55 dBm
-57 dBm;-52 dBm;-54 dBm;-53 dBm
-57 dBm;-55 dBm;-54 dBm;-55 dBm
-57 dBm;-52 dBm;-54 dBm;-53 dBm
-54 dBm;-79 dBm;-54 dBm;-54 dBm
-52 dBm;-54 dBm;-55 dBm;-55 dBm
-54 dBm;-71 dBm;-57 dBm;-52 dBm
-52 dBm;-51 dBm;-57 dBm;-52 dBm
-50 dBm;-51 dBm;-57 dBm;-53 dBm
-57 dBm;-54 dBm;-58 dBm;-52 dBm
-50 dBm;-51 dBm;-57 dBm;-53 dBm
-57 dBm;-54 dBm;-57 dBm;-72 dBm
-57 dBm;-79 dBm;-57 dBm;-55 dBm
-57 dBm;-53 dBm;-59 dBm;-55 dBm
-58 dBm;-54 dBm;-57 dBm;-54 dBm
-57 dBm;-52 dBm;-54 dBm;-55 dBm
-54 dBm;-52 dBm;-57 dBm;-53 dBm
-54 dBm;-79 dBm;-54 dBm;-53 dBm
-54 dBm;-55 dBm;-90 dBm;-53 dBm
-55 dBm;-68 dBm;-54 dBm;-52 dBm
-52 dBm;-54 dBm;-54 dBm;-55 dBm
-55 dBm;-79 dBm;-57 dBm;-71 dBm
-83 dBm;-51 dBm;-55 dBm;-55 dBm
-54 dBm;-51 dBm;-54 dBm;-53 dBm
-54 dBm;-53 dBm;-57 dBm;-54 dBm
-54 dBm;-53 dBm;-54 dBm;-52 dBm
-54 dBm;-79 dBm;-53 dBm;-71 dBm
-54 dBm;-54 dBm;-54 dBm;-53 dBm
-56 dBm;-55 dBm;-52 dBm;-55 dBm
-54 dBm;-52 dBm;-51 dBm;-54 dBm
-83 dBm;-53 dBm;-57 dBm;-54 dBm
-83 dBm;-79 dBm;-57 dBm;-55 dBm
-51 dBm;-55 dBm;-57 dBm;-52 dBm
-57 dBm;-71 dBm;-53 dBm;-53 dBm
-58 dBm;-53 dBm;-52 dBm;-53 dBm
-57 dBm;-54 dBm;-52 dBm;-52 dBm
-57 dBm;-53 dBm;-52 dBm;-52 dBm
-58 dBm;-53 dBm;-54 dBm;-54 dBm
-57 dBm;-53 dBm;-52 dBm;-72 dBm
-58 dBm;-81 dBm;-55 dBm;-56 dBm
-53 dBm;-54 dBm;-55 dBm;-53 dBm
-53 dBm;-54 dBm;-56 dBm;-72 dBm
-51 dBm;-52 dBm;-57 dBm;-52 dBm
-80 dBm;-54 dBm;-57 dBm;-54 dBm
-55 dBm;-54 dBm;-57 dBm;-55 dBm
-54 dBm;-55 dBm;-55 dBm;-55 dBm
-57 dBm;-68 dBm;-55 dBm;-54 dBm
-57 dBm;-51 dBm;-55 dBm;-69 dBm
-57 dBm;-54 dBm;-55 dBm;-55 dBm
-54 dBm;-53 dBm;-58 dBm;-53 dBm
-82 dBm;-53 dBm;-57 dBm;-54 dBm
-54 dBm;-52 dBm;-57 dBm;-55 dBm
-55 dBm;-79 dBm;-57 dBm;-55 dBm
-57 dBm;-81 dBm;-53 dBm;-55 dBm
-55 dBm;-55 dBm;-52 dBm;-55 dBm
-82 dBm;-53 dBm;-53 dBm;-54 dBm
-82 dBm;-51 dBm;-50 dBm;-54 dBm
-54 dBm;-81 dBm;-88 dBm;-53 dBm
-52 dBm;-55 dBm;-55 dBm;-55 dBm
-56 dBm;-54 dBm;-54 dBm;-55 dBm
-54 dBm;-72 dBm;-57 dBm;-55 dBm
-81 dBm;-52 dBm;-55 dBm;-55 dBm
-54 dBm;-53 dBm;-53 dBm;-54 dBm
-55 dBm;-51 dBm;-53 dBm;-54 dBm
-56 dBm;-52 dBm;-52 dBm;-53 dBm
-56 dBm;-52 dBm;-55 dBm;-55 dBm
-56 dBm;-54 dBm;-58 dBm;-55 dBm
-57 dBm;-72 dBm;-57 dBm;-52 dBm
-57 dBm;-55 dBm;-57 dBm;-53 dBm
-58 dBm;-53 dBm;-54 dBm;-54 dBm
-57 dBm;-53 dBm;-57 dBm;-52 dBm
-56 dBm;-53 dBm;-54 dBm;-69 dBm
-56 dBm;-55 dBm;-52 dBm;-54 dBm
-57 dBm;-72 dBm;-52 dBm;-55 dBm
-56 dBm;-53 dBm;-54 dBm;-55 dBm
-56 dBm;-53 dBm;-53 dBm;-55 dBm
-55 dBm;-53 dBm;-55 dBm;-70 dBm
-57 dBm;-50 dBm;-54 dBm;-53 dBm
-58 dBm;-55 dBm;-57 dBm;-52 dBm
-54 dBm;-53 dBm;-54 dBm;-72 dBm
-81 dBm;-54 dBm;-87 dBm;-55 dBm
-54 dBm;-53 dBm;-54 dBm;-52 dBm
-58 dBm;-53 dBm;-57 dBm;-56 dBm
-54 dBm;-78 dBm;-52 dBm;-54 dBm
-82 dBm;-80 dBm;-55 dBm;-69 dBm
-55 dBm;-52 dBm;-54 dBm;-54 dBm
-58 dBm;-69 dBm;-54 dBm;-56 dBm
-55 dBm;-53 dBm;-53 dBm;-54 dBm
-82 dBm;-79 dBm;-54 dBm;-71 dBm
-54 dBm;-81 dBm;-58 dBm;-53 dBm
-57 dBm;-81 dBm;-55 dBm;-55 dBm
-81 dBm;-80 dBm;-55 dBm;-55 dBm
-54 dBm;-79 dBm;-55 dBm;-68 dBm
-53 dBm;-78 dBm;-54 dBm;-55 dBm
-58 dBm;-80 dBm;-54 dBm;-55 dBm
-54 dBm;-80 dBm;-52 dBm;-72 dBm
-83 dBm;-80 dBm;-54 dBm;-55 dBm
-54 dBm;-81 dBm;-54 dBm;-52 dBm
-54 dBm;-69 dBm;-52 dBm;-72 dBm
-54 dBm;-71 dBm;-53 dBm;-55 dBm
-52 dBm;-54 dBm;-49 dBm;-54 dBm
-50 dBm;-55 dBm;-59 dBm;-71 dBm
-54 dBm;-51 dBm;-58 dBm;-52 dBm
-53 dBm;-54 dBm;-58 dBm;-53 dBm
-53 dBm;-51 dBm;-58 dBm;-56 dBm
-57 dBm;-53 dBm;-58 dBm;-53 dBm
-57 dBm;-72 dBm;-57 dBm;-55 dBm
-57 dBm;-69 dBm;-56 dBm;-53 dBm
-58 dBm;-54 dBm;-58 dBm;-53 dBm
-57 dBm;-54 dBm;-56 dBm;-55 dBm
-57 dBm;-55 dBm;-57 dBm;-55 dBm
-57 dBm;-72 dBm;-57 dBm;-52 dBm
-58 dBm;-56 dBm;-53 dBm;-55 dBm
-58 dBm;-80 dBm;-89 dBm;-53 dBm
-57 dBm;-54 dBm;-88 dBm;-56 dBm
-57 dBm;-54 dBm;-52 dBm;-53 dBm
-58 dBm;-54 dBm;-58 dBm;-55 dBm
-57 dBm;-57 dBm;-51 dBm;-55 dBm
-57 dBm;-57 dBm;-52 dBm;-54 dBm
-57 dBm;-51 dBm;-52 dBm;-55 dBm
-57 dBm;-51 dBm;-55 dBm;-55 dBm
-58 dBm;-71 dBm;-53 dBm;-54 dBm
-57 dBm;-68 dBm;-56 dBm;-53 dBm
-57 dBm;-57 dBm;-58 dBm;-71 dBm
-58 dBm;-51 dBm;-57 dBm;-55 dBm
-58 dBm;-50 dBm;-56 dBm;-54 dBm
-58 dBm;-58 dBm;-57 dBm;-71 dBm
-57 dBm;-53 dBm;-57 dBm;-53 dBm
-57 dBm;-51 dBm;-57 dBm;-53 dBm
-58 dBm;-53 dBm;-57 dBm;-54 dBm
-57 dBm;-54 dBm;-57 dBm;-54 dBm
-53 dBm;-53 dBm;-57 dBm;-54 dBm
-53 dBm;-53 dBm;-57 dBm;-55 dBm
-82 dBm;-69 dBm;-57 dBm;-55 dBm
-54 dBm;-53 dBm;-57 dBm;-52 dBm
-57 dBm;-54 dBm;-57 dBm;-54 dBm
-53 dBm;-51 dBm;-58 dBm;-54 dBm
-82 dBm;-53 dBm;-58 dBm;-54 dBm
-55 dBm;-52 dBm;-57 dBm;-54 dBm
-58 dBm;-81 dBm;-57 dBm;-53 dBm
-54 dBm;-53 dBm;-58 dBm;-72 dBm
-54 dBm;-70 dBm;-54 dBm;-55 dBm
-54 dBm;-68 dBm;-53 dBm;-54 dBm
-54 dBm;-53 dBm;-51 dBm;-54 dBm
-55 dBm;-53 dBm;-53 dBm;-56 dBm
-55 dBm;-51 dBm;-52 dBm;-55 dBm
-83 dBm;-52 dBm;-57 dBm;-55 dBm
-53 dBm;-54 dBm;-57 dBm;-55 dBm
-56 dBm;-53 dBm;-57 dBm;-52 dBm
-54 dBm;-54 dBm;-56 dBm;-53 dBm
-55 dBm;-68 dBm;-58 dBm;-53 dBm
-57 dBm;-72 dBm;-58 dBm;-55 dBm
-58 dBm;-52 dBm;-58 dBm;-55 dBm
-56 dBm;-53 dBm;-58 dBm;-54 dBm
-57 dBm;-52 dBm;-58 dBm;-52 dBm
-54 dBm;-54 dBm;-57 dBm;-68 dBm
-82 dBm;-53 dBm;-57 dBm;-53 dBm
-54 dBm;-52 dBm;-57 dBm;-54 dBm
-57 dBm;-55 dBm;-58 dBm;-69 dBm
-54 dBm;-54 dBm;-57 dBm;-52 dBm
-54 dBm;-53 dBm;-57 dBm;-53 dBm
-54 dBm;-52 dBm;-58 dBm;-55 dBm
-81 dBm;-80 dBm;-52 dBm;-55 dBm
-55 dBm;-68 dBm;-53 dBm;-51 dBm
-58 dBm;-51 dBm;-53 dBm;-69 dBm
-54 dBm;-52 dBm;-56 dBm;-68 dBm
-57 dBm;-53 dBm;-57 dBm;-55 dBm
-53 dBm;-53 dBm;-53 dBm;-53 dBm
-58 dBm;-52 dBm;-53 dBm;-55 dBm
-55 dBm;-70 dBm;-56 dBm;-56 dBm
-81 dBm;-53 dBm;-54 dBm;-53 dBm
-80 dBm;-53 dBm;-51 dBm;-53 dBm
-54 dBm;-52 dBm;-53 dBm;-53 dBm
-58 dBm;-54 dBm;-52 dBm;-51 dBm
-54 dBm;-53 dBm;-53 dBm;-53 dBm
-79 dBm;-53 dBm;-53 dBm;-54 dBm
-54 dBm;-52 dBm;-56 dBm;-56 dBm
-57 dBm;-53 dBm;-56 dBm;-55 dBm
-57 dBm;-53 dBm;-54 dBm;-54 dBm
-54 dBm;-53 dBm;-51 dBm;-55 dBm
-54 dBm;-68 dBm;-51 dBm;-54 dBm
-57 dBm;-53 dBm;-52 dBm;-55 dBm
-54 dBm;-82 dBm;-57 dBm;-68 dBm
-56 dBm;-55 dBm;-52 dBm;-54 dBm
-56 dBm;-71 dBm;-52 dBm;-88 dBm
-58 dBm;-51 dBm;-52 dBm;-53 dBm
-57 dBm;-80 dBm;-53 dBm;-54 dBm
-57 dBm;-54 dBm;-51 dBm;-56 dBm
-55 dBm;-71 dBm;-57 dBm;-52 dBm
-54 dBm;-58 dBm;-58 dBm;-55 dBm
-52 dBm;-78 dBm;-56 dBm;-54 dBm
-55 dBm;-55 dBm;-56 dBm;-71 dBm
-54 dBm;-71 dBm;-57 dBm;-53 dBm
-53 dBm;-55 dBm;-56 dBm;-56 dBm
-54 dBm;-55 dBm;-57 dBm;-54 dBm
-53 dBm;-81 dBm;-57 dBm;-69 dBm
-56 dBm;-54 dBm;-57 dBm;-55 dBm
-58 dBm;-72 dBm;-57 dBm;-54 dBm
-57 dBm;-55 dBm;-58 dBm;-53 dBm
-54 dBm;-82 dBm;-57 dBm;-55 dBm
-57 dBm;-54 dBm;-58 dBm;-54 dBm
-54 dBm;-72 dBm;-57 dBm;-55 dBm
-80 dBm;-51 dBm;-57 dBm;-55 dBm
-54 dBm;-82 dBm;-56 dBm;-52 dBm
-57 dBm;-55 dBm;-58 dBm;-89 dBm
-58 dBm;-71 dBm;-58 dBm;-55 dBm
-57 dBm;-50 dBm;-57 dBm;-72 dBm
-57 dBm;-82 dBm;-57 dBm;-55 dBm
-54 dBm;-55 dBm;-58 dBm;-55 dBm
-55 dBm;-72 dBm;-57 dBm;-54 dBm
-54 dBm;-51 dBm;-57 dBm;-72 dBm
-52 dBm;-58 dBm;-57 dBm;-54 dBm
-54 dBm;-58 dBm;-57 dBm;-55 dBm
-54 dBm;-81 dBm;-57 dBm;-52 dBm
-54 dBm;-52 dBm;-57 dBm;-55 dBm
-53 dBm;-70 dBm;-57 dBm;-55 dBm
-51 dBm;-53 dBm;-57 dBm;-55 dBm
-55 dBm;-81 dBm;-57 dBm;-68 dBm
-54 dBm;-55 dBm;-58 dBm;-53 dBm
-56 dBm;-53 dBm;-54 dBm;-54 dBm
-58 dBm;-54 dBm;-53 dBm;-72 dBm
-57 dBm;-72 dBm;-57 dBm;-53 dBm
-57 dBm;-53 dBm;-51 dBm;-53 dBm
-57 dBm;-51 dBm;-87 dBm;-55 dBm
-57 dBm;-52 dBm;-55 dBm;-55 dBm
-57 dBm;-56 dBm;-54 dBm;-55 dBm
-57 dBm;-54 dBm;-55 dBm;-55 dBm
-57 dBm;-71 dBm;-58 dBm;-53 dBm
-57 dBm;-53 dBm;-57 dBm;-54 dBm
-57 dBm;-81 dBm;-50 dBm;-55 dBm
-57 dBm;-80 dBm;-51 dBm;-54 dBm
-56 dBm;-56 dBm;-50 dBm;-54 dBm
-57 dBm;-56 dBm;-54 dBm;-68 dBm
-58 dBm;-53 dBm;-54 dBm;-55 dBm
-57 dBm;-71 dBm;-53 dBm;-56 dBm
-58 dBm;-58 dBm;-56 dBm;-52 dBm
-57 dBm;-79 dBm;-55 dBm;-55 dBm
-54 dBm;-55 dBm;-50 dBm;-53 dBm
-53 dBm;-54 dBm;-54 dBm;-55 dBm
-56 dBm;-50 dBm;-55 dBm;-53 dBm
-54 dBm;-80 dBm;-56 dBm;-53 dBm
-53 dBm;-52 dBm;-54 dBm;-55 dBm
-57 dBm;-71 dBm;-90 dBm;-71 dBm
-58 dBm;-50 dBm;-55 dBm;-54 dBm
-58 dBm;-82 dBm;-57 dBm;-54 dBm
-57 dBm;-53 dBm;-53 dBm;-55 dBm
-58 dBm;-71 dBm;-53 dBm;-55 dBm
-56 dBm;-58 dBm;-53 dBm;-53 dBm
-57 dBm;-79 dBm;-56 dBm;-55 dBm
-58 dBm;-52 dBm;-50 dBm;-53 dBm
-57 dBm;-71 dBm;-53 dBm;-50 dBm
-57 dBm;-54 dBm;-56 dBm;-55 dBm
-57 dBm;-81 dBm;-57 dBm;-54 dBm
-57 dBm;-55 dBm;-54 dBm;-54 dBm
-58 dBm;-54 dBm;-53 dBm;-55 dBm
-57 dBm;-72 dBm;-56 dBm;-55 dBm
-58 dBm;-50 dBm;-54 dBm;-54 dBm
-58 dBm;-51 dBm;-54 dBm;-53 dBm
-58 dBm;-50 dBm;-56 dBm;-50 dBm
-58 dBm;-53 dBm;-55 dBm;-52 dBm
-58 dBm;-79 dBm;-55 dBm;-69 dBm
-53 dBm;-80 dBm;-56 dBm;-69 dBm
-54 dBm;-80 dBm;-54 dBm;-54 dBm
-58 dBm;-54 dBm;-54 dBm;-55 dBm
-57 dBm;-72 dBm;-53 dBm;-54 dBm
-57 dBm;-58 dBm;-54 dBm;-53 dBm
-81 dBm;-80 dBm;-56 dBm;-54 dBm
-54 dBm;-55 dBm;-55 dBm;-71 dBm
-55 dBm;-54 dBm;-55 dBm;-52 dBm
-54 dBm;-55 dBm;-54 dBm;-53 dBm
-57 dBm;-55 dBm;-55 dBm;-53 dBm
-57 dBm;-71 dBm;-54 dBm;-51 dBm
-54 dBm;-58 dBm;-54 dBm;-54 dBm
-52 dBm;-58 dBm;-54 dBm;-68 dBm
-53 dBm;-81 dBm;-54 dBm;-53 dBm
-54 dBm;-55 dBm;-55 dBm;-54 dBm
-58 dBm;-69 dBm;-55 dBm;-55 dBm
-54 dBm;-50 dBm;-55 dBm;-52 dBm
-54 dBm;-51 dBm;-55 dBm;-69 dBm
-54 dBm;-58 dBm;-56 dBm;-53 dBm
-55 dBm;-57 dBm;-55 dBm;-52 dBm
-55 dBm;-54 dBm;-53 dBm;-53 dBm
-53 dBm;-71 dBm;-54 dBm;-54 dBm
-54 dBm;-53 dBm;-54 dBm;-54 dBm
-58 dBm;-51 dBm;-54 dBm;-88 dBm
-50 dBm;-53 dBm;-51 dBm;-89 dBm
-49 dBm;-52 dBm;-53 dBm;-90 dBm
-50 dBm;-51 dBm;-48 dBm;-68 dBm
-50 dBm;-53 dBm;-53 dBm;-53 dBm
-53 dBm;-53 dBm;-52 dBm;-53 dBm
-79 dBm;-71 dBm;-54 dBm;-53 dBm
-78 dBm;-52 dBm;-56 dBm;-52 dBm
-55 dBm;-82 dBm;-57 dBm;-53 dBm
-54 dBm;-55 dBm;-53 dBm;-71 dBm
-54 dBm;-72 dBm;-55 dBm;-72 dBm
-55 dBm;-54 dBm;-53 dBm;-53 dBm
-53 dBm;-53 dBm;-57 dBm;-52 dBm
-53 dBm;-81 dBm;-56 dBm;-54 dBm
-52 dBm;-55 dBm;-55 dBm;-52 dBm
-57 dBm;-55 dBm;-56 dBm;-52 dBm
-53 dBm;-72 dBm;-57 dBm;-90 dBm
-50 dBm;-51 dBm;-57 dBm;-88 dBm
-51 dBm;-82 dBm;-56 dBm;-88 dBm
-51 dBm;-55 dBm;-58 dBm;-91 dBm
-53 dBm;-72 dBm;-57 dBm;-55 dBm
-52 dBm;-55 dBm;-57 dBm;-53 dBm
-52 dBm;-54 dBm;-57 dBm;-55 dBm
-52 dBm;-82 dBm;-57 dBm;-53 dBm
-52 dBm;-55 dBm;-58 dBm;-52 dBm
-56 dBm;-72 dBm;-55 dBm;-89 dBm
-56 dBm;-54 dBm;-55 dBm;-90 dBm
-55 dBm;-52 dBm;-56 dBm;-91 dBm
-58 dBm;-54 dBm;-54 dBm;-89 dBm
-57 dBm;-54 dBm;-52 dBm;-53 dBm
-57 dBm;-54 dBm;-52 dBm;-52 dBm
-57 dBm;-77 dBm;-56 dBm;-91 dBm
-57 dBm;-54 dBm;-54 dBm;-54 dBm
-57 dBm;-72 dBm;-53 dBm;-54 dBm
-55 dBm;-52 dBm;-55 dBm;-54 dBm
-58 dBm;-82 dBm;-53 dBm;-51 dBm
-57 dBm;-55 dBm;-90 dBm;-53 dBm
-57 dBm;-71 dBm;-53 dBm;-51 dBm
-57 dBm;-58 dBm;-55 dBm;-52 dBm
-57 dBm;-77 dBm;-55 dBm;-52 dBm
-58 dBm;-54 dBm;-54 dBm;-53 dBm
-57 dBm;-72 dBm;-54 dBm;-53 dBm
-57 dBm;-54 dBm;-90 dBm;-54 dBm
-58 dBm;-55 dBm;-53 dBm;-92 dBm
-57 dBm;-55 dBm;-57 dBm;-90 dBm
-58 dBm;-53 dBm;-55 dBm;-94 dBm
-57 dBm;-54 dBm;-54 dBm;-93 dBm
-57 dBm;-81 dBm;-54 dBm;-92 dBm
-57 dBm;-53 dBm;-52 dBm;-69 dBm
-56 dBm;-53 dBm;-54 dBm;-51 dBm
-57 dBm;-53 dBm;-54 dBm;-52 dBm
-57 dBm;-81 dBm;-55 dBm;-53 dBm
-57 dBm;-54 dBm;-55 dBm;-51 dBm
-57 dBm;-54 dBm;-55 dBm;-52 dBm
-57 dBm;-68 dBm;-54 dBm;-53 dBm
-58 dBm;-53 dBm;-54 dBm;-51 dBm
-57 dBm;-54 dBm;-53 dBm;-53 dBm
-58 dBm;-54 dBm;-54 dBm;-53 dBm
-56 dBm;-78 dBm;-52 dBm;-54 dBm
