S1A1(3);S2A1(3);S1E1(3);S2E1(3)
-57 dBm;-53 dBm;-53 dBm;-55 dBm
-56 dBm;-54 dBm;-55 dBm;-54 dBm
-57 dBm;-51 dBm;-52 dBm;-57 dBm
-55 dBm;-52 dBm;-53 dBm;-57 dBm
-56 dBm;-54 dBm;-56 dBm;-58 dBm
-55 dBm;-53 dBm;-54 dBm;-58 dBm
-55 dBm;-55 dBm;-58 dBm;-54 dBm
-53 dBm;-55 dBm;-58 dBm;-69 dBm
-55 dBm;-54 dBm;-58 dBm;-52 dBm
-56 dBm;-54 dBm;-57 dBm;-55 dBm
-55 dBm;-54 dBm;-52 dBm;-55 dBm
-54 dBm;-54 dBm;-57 dBm;-52 dBm
-55 dBm;-55 dBm;-52 dBm;-53 dBm
-55 dBm;-56 dBm;-54 dBm;-54 dBm
-54 dBm;-55 dBm;-54 dBm;-53 dBm
-56 dBm;-54 dBm;-54 dBm;-55 dBm
-51 dBm;-55 dBm;-57 dBm;-52 dBm
-54 dBm;-54 dBm;-57 dBm;-53 dBm
-54 dBm;-52 dBm;-57 dBm;-54 dBm
-53 dBm;-55 dBm;-58 dBm;-71 dBm
-54 dBm;-55 dBm;-54 dBm;-68 dBm
-54 dBm;-53 dBm;-58 dBm;-58 dBm
-55 dBm;-54 dBm;-58 dBm;-58 dBm
-56 dBm;-54 dBm;-58 dBm;-58 dBm
-58 dBm;-71 dBm;-57 dBm;-57 dBm
-58 dBm;-54 dBm;-57 dBm;-54 dBm
-58 dBm;-53 dBm;-57 dBm;-90 dBm
-53 dBm;-54 dBm;-53 dBm;-53 dBm
-55 dBm;-55 dBm;-58 dBm;-53 dBm
-80 dBm;-55 dBm;-58 dBm;-54 dBm
-55 dBm;-54 dBm;-58 dBm;-52 dBm
-58 dBm;-54 dBm;-54 dBm;-54 dBm
-54 dBm;-78 dBm;-53 dBm;-54 dBm
-55 dBm;-54 dBm;-55 dBm;-54 dBm
-79 dBm;-54 dBm;-58 dBm;-55 dBm
-54 dBm;-54 dBm;-52 dBm;-55 dBm
-58 dBm;-54 dBm;-55 dBm;-52 dBm
-54 dBm;-54 dBm;-55 dBm;-72 dBm
-53 dBm;-53 dBm;-52 dBm;-57 dBm
-53 dBm;-72 dBm;-54 dBm;-57 dBm
-79 dBm;-53 dBm;-55 dBm;-57 dBm
-54 dBm;-78 dBm;-56 dBm;-58 dBm
-54 dBm;-55 dBm;-55 dBm;-52 dBm
-53 dBm;-53 dBm;-57 dBm;-52 dBm
-58 dBm;-55 dBm;-57 dBm;-55 dBm
-54 dBm;-55 dBm;-57 dBm;-54 dBm
-54 dBm;-54 dBm;-57 dBm;-53 dBm
-78 dBm;-55 dBm;-53 dBm;-55 dBm
-54 dBm;-77 dBm;-55 dBm;-58 dBm
-53 dBm;-55 dBm;-55 dBm;-58 dBm
-57 dBm;-55 dBm;-51 dBm;-52 dBm
-55 dBm;-55 dBm;-54 dBm;-51 dBm
-78 dBm;-55 dBm;-55 dBm;-53 dBm
-54 dBm;-78 dBm;-56 dBm;-53 dBm
-55 dBm;-54 dBm;-55 dBm;-54 dBm
-57 dBm;-55 dBm;-55 dBm;-71 dBm
-54 dBm;-52 dBm;-57 dBm;-52 dBm
-79 dBm;-54 dBm;-54 dBm;-54 dBm
-54 dBm;-55 dBm;-57 dBm;-55 dBm
-55 dBm;-55 dBm;-58 dBm;-52 dBm
-55 dBm;-55 dBm;-58 dBm;-53 dBm
-54 dBm;-78 dBm;-57 dBm;-57 dBm
-58 dBm;-55 dBm;-54 dBm;-57 dBm
-54 dBm;-55 dBm;-55 dBm;-54 dBm
-78 dBm;-77 dBm;-52 dBm;-54 dBm
-55 dBm;-53 dBm;-52 dBm;-54 dBm
-55 dBm;-72 dBm;-54 dBm;-58 dBm
-56 dBm;-54 dBm;-54 dBm;-57 dBm
-54 dBm;-54 dBm;-54 dBm;-54 dBm
-78 dBm;-54 dBm;-55 dBm;-58 dBm
-53 dBm;-78 dBm;-52 dBm;-58 dBm
-55 dBm;-54 dBm;-53 dBm;-54 dBm
-56 dBm;-72 dBm;-86 dBm;-54 dBm
-54 dBm;-52 dBm;-52 dBm;-52 dBm
-55 dBm;-80 dBm;-55 dBm;-53 dBm
-56 dBm;-52 dBm;-54 dBm;-55 dBm
-54 dBm;-55 dBm;-54 dBm;-58 dBm
-55 dBm;-54 dBm;-53 dBm;-57 dBm
-56 dBm;-55 dBm;-54 dBm;-55 dBm
-54 dBm;-54 dBm;-56 dBm;-57 dBm
-54 dBm;-54 dBm;-58 dBm;-53 dBm
-53 dBm;-53 dBm;-53 dBm;-72 dBm
-55 dBm;-53 dBm;-55 dBm;-57 dBm
-55 dBm;-52 dBm;-57 dBm;-58 dBm
-54 dBm;-52 dBm;-57 dBm;-52 dBm
-55 dBm;-55 dBm;-55 dBm;-58 dBm
-78 dBm;-80 dBm;-55 dBm;-57 dBm
-54 dBm;-55 dBm;-57 dBm;-55 dBm
-56 dBm;-55 dBm;-55 dBm;-54 dBm
-54 dBm;-55 dBm;-56 dBm;-55 dBm
-79 dBm;-55 dBm;-56 dBm;-54 dBm
-55 dBm;-52 dBm;-57 dBm;-55 dBm
-54 dBm;-54 dBm;-54 dBm;-54 dBm
-56 dBm;-54 dBm;-54 dBm;-71 dBm
-56 dBm;-52 dBm;-54 dBm;-57 dBm
-54 dBm;-54 dBm;-55 dBm;-57 dBm
-55 dBm;-54 dBm;-52 dBm;-54 dBm
-55 dBm;-53 dBm;-52 dBm;-54 dBm
-79 dBm;-54 dBm;-56 dBm;-55 dBm
-54 dBm;-79 dBm;-57 dBm;-57 dBm
-56 dBm;-55 dBm;-57 dBm;-55 dBm
-56 dBm;-55 dBm;-54 dBm;-52 dBm
-55 dBm;-79 dBm;-54 dBm;-89 dBm
-55 dBm;-54 dBm;-57 dBm;-54 dBm
-54 dBm;-55 dBm;-55 dBm;-52 dBm
-80 dBm;-78 dBm;-56 dBm;-54 dBm
-52 dBm;-54 dBm;-55 dBm;-55 dBm
-56 dBm;-72 dBm;-55 dBm;-54 dBm
-55 dBm;-53 dBm;-58 dBm;-54 dBm
-54 dBm;-78 dBm;-57 dBm;-53 dBm
-53 dBm;-55 dBm;-53 dBm;-52 dBm
-80 dBm;-54 dBm;-55 dBm;-53 dBm
-54 dBm;-80 dBm;-58 dBm;-87 dBm
-56 dBm;-52 dBm;-57 dBm;-55 dBm
-55 dBm;-54 dBm;-57 dBm;-53 dBm
-55 dBm;-54 dBm;-58 dBm;-54 dBm
-79 dBm;-55 dBm;-53 dBm;-57 dBm
-54 dBm;-55 dBm;-55 dBm;-58 dBm
-56 dBm;-71 dBm;-52 dBm;-54 dBm
-54 dBm;-54 dBm;-54 dBm;-57 dBm
-55 dBm;-54 dBm;-54 dBm;-54 dBm
-79 dBm;-54 dBm;-56 dBm;-54 dBm
-55 dBm;-54 dBm;-56 dBm;-53 dBm
-55 dBm;-53 dBm;-57 dBm;-54 dBm
-55 dBm;-54 dBm;-52 dBm;-55 dBm
-52 dBm;-54 dBm;-54 dBm;-57 dBm
-78 dBm;-79 dBm;-56 dBm;-57 dBm
