No.;Time;signal strength;Source;Destination;Info;Length;;;S1;S2
11964;550.307.169.673;-68 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=712/51202, ttl=64;158;192.168.1.102;;-68 dBm;
11965;550.308.570.381;-53 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=712/51202, ttl=64;161;192.168.1.102;;-53 dBm;
11966;550.430.467.228;-62 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=658/37378, ttl=64 (no response found!);161;;192.168.1.106;;-62 dBm
11967;550.432.102.788;-53 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=658/37378, ttl=64 (reply in 11968);161;;192.168.1.106;;-53 dBm
11968;550.533.114.518;-69 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=658/37378, ttl=64 (request in 11967);172;;192.168.1.106;;-69 dBm
11969;550.534.898.398;-69 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=658/37378, ttl=64;172;;192.168.1.106;;-69 dBm
11970;550.536.646.418;-53 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=658/37378, ttl=64;161;;192.168.1.106;;-53 dBm
11977;551.168.134.490;-63 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=713/51458, ttl=64 (no response found!);172;192.168.1.102;;-63 dBm;
11978;551.431.536.901;-63 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=659/37634, ttl=64 (no response found!);161;;192.168.1.106;;-63 dBm
11979;551.437.590.961;;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=713/51458, ttl=64 (no response found!);162;192.168.1.102;;0;
11980;551.437.630.878;-53 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=659/37634, ttl=64 (no response found!);172;;192.168.1.106;;-53 dBm
11981;551.438.335.951;;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=713/51458, ttl=64 (no response found!);162;192.168.1.102;;0;
11982;551.438.369.536;-52 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=659/37634, ttl=64 (no response found!);172;;192.168.1.106;;-52 dBm
11983;551.439.149.507;;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=713/51458, ttl=64 (no response found!);162;192.168.1.102;;0;
11984;551.439.184.102;-53 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=659/37634, ttl=64 (no response found!);172;;192.168.1.106;;-53 dBm
11985;551.439.832.651;;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=713/51458, ttl=64 (no response found!);162;192.168.1.102;;0;
11986;551.439.865.007;-52 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=659/37634, ttl=64 (no response found!);172;;192.168.1.106;;-52 dBm
11987;551.440.405.402;-52 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=713/51458, ttl=64 (no response found!);158;192.168.1.102;;-52 dBm;
11988;551.442.205.527;-49 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=713/51458, ttl=64 (reply in 11991);158;192.168.1.102;;-49 dBm;
11989;551.442.247.202;-53 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=659/37634, ttl=64 (no response found!);158;;192.168.1.106;;-53 dBm
11990;551.442.278.920;-51 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=659/37634, ttl=64 (reply in 11993);158;;192.168.1.106;;-51 dBm
11991;551.543.613.208;-68 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=713/51458, ttl=64 (request in 11988);172;192.168.1.102;;-68 dBm;
11992;551.544.520.092;;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=713/51458, ttl=64;162;192.168.1.102;;0;
11993;551.544.805.932;-68 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=659/37634, ttl=64 (request in 11990);172;;192.168.1.106;;-68 dBm
11994;551.547.736.842;-68 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=713/51458, ttl=64;158;192.168.1.102;;-68 dBm;
11995;551.547.817.893;-52 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=713/51458, ttl=64;161;192.168.1.102;;-52 dBm;
11996;551.547.834.742;-53 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=713/51458, ttl=64;161;192.168.1.102;;-53 dBm;
11997;551.549.195.542;-69 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=659/37634, ttl=64;172;;192.168.1.106;;-69 dBm
11998;551.550.759.107;-67 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=659/37634, ttl=64;158;;192.168.1.106;;-67 dBm
11999;551.552.287.842;-54 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=659/37634, ttl=64;161;;192.168.1.106;;-54 dBm
12001;552.167.943.846;-63 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=714/51714, ttl=64 (no response found!);172;192.168.1.102;;-63 dBm;
12002;552.299.805.884;-52 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=714/51714, ttl=64 (no response found!);161;192.168.1.102;;-52 dBm;
12003;552.299.849.694;-53 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=714/51714, ttl=64 (no response found!);161;192.168.1.102;;-53 dBm;
12004;552.299.875.528;-53 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=714/51714, ttl=64 (no response found!);161;192.168.1.102;;-53 dBm;
12005;552.299.901.086;-53 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=714/51714, ttl=64 (no response found!);161;192.168.1.102;;-53 dBm;
12006;552.299.936.253;-53 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=714/51714, ttl=64 (no response found!);158;192.168.1.102;;-53 dBm;
12007;552.300.807.134;-55 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=714/51714, ttl=64 (reply in 12017);158;192.168.1.102;;-55 dBm;
12008;552.447.112.858;-62 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=660/37890, ttl=64 (no response found!);161;;192.168.1.106;;-62 dBm
12009;552.464.204.519;-51 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=660/37890, ttl=64 (no response found!);158;;192.168.1.106;;-51 dBm
12010;552.465.367.544;-53 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=660/37890, ttl=64 (no response found!);158;;192.168.1.106;;-53 dBm
12011;552.467.182.886;-51 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=660/37890, ttl=64 (no response found!);158;;192.168.1.106;;-51 dBm
12012;552.470.953.824;-52 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=660/37890, ttl=64 (no response found!);158;;192.168.1.106;;-52 dBm
12013;552.474.705.201;-52 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=660/37890, ttl=64 (no response found!);158;;192.168.1.106;;-52 dBm
12014;552.476.895.268;-52 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=660/37890, ttl=64 (no response found!);158;;192.168.1.106;;-52 dBm
12015;552.480.192.303;-50 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=660/37890, ttl=64 (no response found!);158;;192.168.1.106;;-50 dBm
12016;552.481.964.553;-53 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=660/37890, ttl=64 (reply in 12026);158;;192.168.1.106;;-53 dBm
12017;552.514.556.481;-67 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=714/51714, ttl=64 (request in 12007);158;192.168.1.102;;-67 dBm;
12018;552.516.082.538;-68 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=714/51714, ttl=64;158;192.168.1.102;;-68 dBm;
12019;552.529.309.972;-52 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=714/51714, ttl=64;161;192.168.1.102;;-52 dBm;
12020;552.530.248.570;-51 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=714/51714, ttl=64;161;192.168.1.102;;-51 dBm;
12021;552.532.228.062;-51 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=714/51714, ttl=64;158;192.168.1.102;;-51 dBm;
12022;552.542.950.737;-50 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=714/51714, ttl=64;158;192.168.1.102;;-50 dBm;
12023;552.545.205.764;-52 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=714/51714, ttl=64;158;192.168.1.102;;-52 dBm;
12024;552.547.800.723;-51 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=714/51714, ttl=64;158;192.168.1.102;;-51 dBm;
12025;552.549.930.223;-53 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=714/51714, ttl=64;158;192.168.1.102;;-53 dBm;
12026;552.715.611.178;-69 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=660/37890, ttl=64 (request in 12016);172;;192.168.1.106;;-69 dBm
12027;552.718.630.326;-53 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=660/37890, ttl=64;161;;192.168.1.106;;-53 dBm
12028;552.718.663.221;-53 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=660/37890, ttl=64;161;;192.168.1.106;;-53 dBm
12030;553.275.224.457;-52 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=715/51970, ttl=64 (no response found!);161;192.168.1.102;;-52 dBm;
12031;553.275.269.203;-53 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=715/51970, ttl=64 (no response found!);161;192.168.1.102;;-53 dBm;
12032;553.275.295.282;-53 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=715/51970, ttl=64 (no response found!);161;192.168.1.102;;-53 dBm;
12033;553.275.326.016;-53 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=715/51970, ttl=64 (no response found!);161;192.168.1.102;;-53 dBm;
12034;553.276.405.664;-52 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=715/51970, ttl=64 (no response found!);158;192.168.1.102;;-52 dBm;
12035;553.276.448.907;-49 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=715/51970, ttl=64 (reply in 12036);158;192.168.1.102;;-49 dBm;
12036;553.372.081.644;-69 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=715/51970, ttl=64 (request in 12035);172;192.168.1.102;;-69 dBm;
12037;553.374.913.285;-68 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=715/51970, ttl=64;172;192.168.1.102;;-68 dBm;
12038;553.376.816.996;-68 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=715/51970, ttl=64;172;192.168.1.102;;-68 dBm;
12039;553.379.195.144;-68 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=715/51970, ttl=64;158;192.168.1.102;;-68 dBm;
12040;553.439.062.205;-63 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=661/38146, ttl=64 (no response found!);161;;192.168.1.106;;-63 dBm
12041;553.516.716.686;-62 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=661/38146, ttl=64 (no response found!);161;;192.168.1.106;;-62 dBm
12042;553.519.048.215;-52 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=661/38146, ttl=64 (no response found!);161;;192.168.1.106;;-52 dBm
12043;553.519.097.859;-53 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=661/38146, ttl=64 (no response found!);161;;192.168.1.106;;-53 dBm
12044;553.519.124.844;-53 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=661/38146, ttl=64 (no response found!);161;;192.168.1.106;;-53 dBm
12045;553.519.150.294;-52 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=661/38146, ttl=64 (no response found!);161;;192.168.1.106;;-52 dBm
12046;553.520.717.427;-53 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=661/38146, ttl=64 (no response found!);158;;192.168.1.106;;-53 dBm
12047;553.520.769.102;-49 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=661/38146, ttl=64 (reply in 12049);158;;192.168.1.106;;-49 dBm
12048;553.543.453.812;-53 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=715/51970, ttl=64;161;192.168.1.102;;-53 dBm;
12049;553.645.920.778;-69 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=661/38146, ttl=64 (request in 12047);172;;192.168.1.106;;-69 dBm
12050;553.758.813.322;-69 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=661/38146, ttl=64;172;;192.168.1.106;;-69 dBm
12051;553.773.082.239;-50 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=661/38146, ttl=64;161;;192.168.1.106;;-50 dBm
12054;554.294.617.821;-62 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=716/52226, ttl=64 (no response found!);172;192.168.1.102;;-62 dBm;
12055;554.300.865.038;-50 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=716/52226, ttl=64 (no response found!);158;192.168.1.102;;-50 dBm;
12056;554.306.621.704;-52 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=716/52226, ttl=64 (no response found!);158;192.168.1.102;;-52 dBm;
12057;554.309.164.940;-54 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=716/52226, ttl=64 (no response found!);158;192.168.1.102;;-54 dBm;
12058;554.312.343.432;-54 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=716/52226, ttl=64 (no response found!);158;192.168.1.102;;-54 dBm;
12059;554.323.211.599;-50 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=716/52226, ttl=64 (no response found!);158;192.168.1.102;;-50 dBm;
12060;554.325.282.381;-52 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=716/52226, ttl=64 (no response found!);158;192.168.1.102;;-52 dBm;
12061;554.330.754.573;-52 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=716/52226, ttl=64 (no response found!);158;192.168.1.102;;-52 dBm;
12062;554.339.662.775;-50 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=716/52226, ttl=64 (no response found!);158;192.168.1.102;;-50 dBm;
12063;554.341.604.122;-50 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=716/52226, ttl=64 (no response found!);158;192.168.1.102;;-50 dBm;
12064;554.343.946.671;-52 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=716/52226, ttl=64 (reply in 12070);158;192.168.1.102;;-52 dBm;
12065;554.439.731.386;-61 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=662/38402, ttl=64 (no response found!);161;;192.168.1.106;;-61 dBm
12066;554.441.416.863;-51 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=662/38402, ttl=64 (no response found!);161;;192.168.1.106;;-51 dBm
12067;554.444.130.450;-52 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=662/38402, ttl=64 (no response found!);158;;192.168.1.106;;-52 dBm
12068;554.445.398.522;-48 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=662/38402, ttl=64 (no response found!);158;;192.168.1.106;;-48 dBm
12069;554.448.250.730;-52 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=662/38402, ttl=64 (reply in 12071);158;;192.168.1.106;;-52 dBm
12070;554.561.738.954;-68 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=716/52226, ttl=64 (request in 12064);172;192.168.1.102;;-68 dBm;
12071;554.562.799.777;-68 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=662/38402, ttl=64 (request in 12069);172;;192.168.1.106;;-68 dBm
12072;554.564.407.259;-51 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=662/38402, ttl=64;161;;192.168.1.106;;-51 dBm
12073;554.565.872.386;-53 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=662/38402, ttl=64;161;;192.168.1.106;;-53 dBm
12074;554.565.904.111;-53 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=662/38402, ttl=64;161;;192.168.1.106;;-53 dBm
12075;554.572.336.390;-51 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=716/52226, ttl=64;158;192.168.1.102;;-51 dBm;
12076;554.574.444.459;-50 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=716/52226, ttl=64;158;192.168.1.102;;-50 dBm;
12077;554.582.358.385;-53 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=716/52226, ttl=64;158;192.168.1.102;;-53 dBm;
12078;554.585.081.553;-53 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=716/52226, ttl=64;158;192.168.1.102;;-53 dBm;
12079;554.591.551.884;-53 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=716/52226, ttl=64;158;192.168.1.102;;-53 dBm;
12082;555.173.273.171;-63 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=717/52482, ttl=64 (no response found!);172;192.168.1.102;;-63 dBm;
12083;555.436.694.620;-62 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=663/38658, ttl=64 (no response found!);161;;192.168.1.106;;-62 dBm
12084;555.735.638.758;;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=717/52482, ttl=64 (reply in 12086);162;192.168.1.102;;0;
12085;555.735.672.500;-52 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=663/38658, ttl=64 (reply in 12087);172;;192.168.1.106;;-52 dBm
12086;555.833.470.504;-71 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=717/52482, ttl=64 (request in 12084);172;192.168.1.102;;-71 dBm;
12087;555.833.524.213;-70 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=663/38658, ttl=64 (request in 12085);172;;192.168.1.106;;-70 dBm
12088;555.835.555.679;-53 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=717/52482, ttl=64;161;192.168.1.102;;-53 dBm;
12089;555.835.605.554;-51 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=663/38658, ttl=64;161;;192.168.1.106;;-51 dBm
12090;555.836.510.996;-53 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=663/38658, ttl=64;161;;192.168.1.106;;-53 dBm
12093;556.174.831.471;-62 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=718/52738, ttl=64 (no response found!);172;192.168.1.102;;-62 dBm;
12094;556.176.732.421;-53 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=718/52738, ttl=64 (reply in 12095);161;192.168.1.102;;-53 dBm;
12095;556.273.957.025;-69 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=718/52738, ttl=64 (request in 12094);172;192.168.1.102;;-69 dBm;
12096;556.276.153.309;-52 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=718/52738, ttl=64;161;192.168.1.102;;-52 dBm;
12097;556.439.765.725;-62 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=664/38914, ttl=64 (no response found!);161;;192.168.1.106;;-62 dBm
12098;556.441.885.817;-54 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=664/38914, ttl=64 (reply in 12099);161;;192.168.1.106;;-54 dBm
12099;556.542.838.800;-69 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=664/38914, ttl=64 (request in 12098);172;;192.168.1.106;;-69 dBm
12100;556.545.138.928;-52 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=664/38914, ttl=64;161;;192.168.1.106;;-52 dBm
12101;556.545.170.028;-53 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=664/38914, ttl=64;161;;192.168.1.106;;-53 dBm
12102;556.545.186.590;-54 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=664/38914, ttl=64;161;;192.168.1.106;;-54 dBm
12103;556.545.543.803;-54 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=664/38914, ttl=64;161;;192.168.1.106;;-54 dBm
12106;557.169.401.791;-62 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=719/52994, ttl=64 (no response found!);172;192.168.1.102;;-62 dBm;
12107;557.169.981.858;-63 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=719/52994, ttl=64 (no response found!);172;192.168.1.102;;-63 dBm;
12108;557.266.480.056;-53 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=719/52994, ttl=64 (reply in 12109);161;192.168.1.102;;-53 dBm;
12109;557.361.349.190;-69 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=719/52994, ttl=64 (request in 12108);172;192.168.1.102;;-69 dBm;
12110;557.363.155.057;-51 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=719/52994, ttl=64;161;192.168.1.102;;-51 dBm;
12111;557.363.184.411;-52 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=719/52994, ttl=64;161;192.168.1.102;;-52 dBm;
12122;557.439.709.521;-63 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=665/39170, ttl=64 (no response found!);161;;192.168.1.106;;-63 dBm
12123;557.441.372.796;-53 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=665/39170, ttl=64 (reply in 12124);161;;192.168.1.106;;-53 dBm
12124;557.547.817.534;-69 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=665/39170, ttl=64 (request in 12123);172;;192.168.1.106;;-69 dBm
12125;557.567.446.577;-51 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=665/39170, ttl=64;158;;192.168.1.106;;-51 dBm
12126;557.569.590.712;-51 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=665/39170, ttl=64;158;;192.168.1.106;;-51 dBm
12136;558.168.870.639;-62 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=720/53250, ttl=64 (no response found!);172;192.168.1.102;;-62 dBm;
12137;558.196.706.579;-52 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=720/53250, ttl=64 (reply in 12138);161;192.168.1.102;;-52 dBm;
12138;558.300.762.705;-69 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=720/53250, ttl=64 (request in 12137);172;192.168.1.102;;-69 dBm;
12139;558.302.735.437;-54 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=720/53250, ttl=64;161;192.168.1.102;;-54 dBm;
12140;558.441.303.587;-62 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=666/39426, ttl=64 (no response found!);161;;192.168.1.106;;-62 dBm
12141;558.442.852.210;-52 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=666/39426, ttl=64 (reply in 12142);161;;192.168.1.106;;-52 dBm
12142;558.543.255.949;-54 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=666/39426, ttl=64 (request in 12141);161;;192.168.1.106;;-54 dBm
12151;559.275.684.044;-63 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=721/53506, ttl=64 (no response found!);172;192.168.1.102;;-63 dBm;
12152;559.412.719.057;-53 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=721/53506, ttl=64 (reply in 12159);161;192.168.1.102;;-53 dBm;
12157;559.442.327.160;-62 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=667/39682, ttl=64 (no response found!);161;;192.168.1.106;;-62 dBm
12158;559.443.838.635;-53 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=667/39682, ttl=64 (reply in 12160);161;;192.168.1.106;;-53 dBm
12159;559.510.903.100;-69 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=721/53506, ttl=64 (request in 12152);172;192.168.1.102;;-69 dBm;
12160;559.510.962.356;-69 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=667/39682, ttl=64 (request in 12158);172;;192.168.1.106;;-69 dBm
12161;559.513.183.097;-53 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=721/53506, ttl=64;161;192.168.1.102;;-53 dBm;
12162;559.513.218.722;-53 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=667/39682, ttl=64;161;;192.168.1.106;;-53 dBm
12168;560.170.278.200;-63 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=722/53762, ttl=64 (no response found!);172;192.168.1.102;;-63 dBm;
12169;560.346.345.367;-53 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=722/53762, ttl=64 (reply in 12170);161;192.168.1.102;;-53 dBm;
12170;560.443.233.599;-70 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=722/53762, ttl=64 (request in 12169);172;192.168.1.102;;-70 dBm;
12171;560.450.316.058;-62 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=668/39938, ttl=64 (no response found!);161;;192.168.1.106;;-62 dBm
12172;560.452.545.483;-53 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=668/39938, ttl=64 (reply in 12174);161;;192.168.1.106;;-53 dBm
