No.;Time;signal strength;Source;Destination;Info;Length;;;S1;S2
117;6.249.980.112;-52 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=170/43520, ttl=64 (no response found!);161;192.168.1.102;;-52 dBm;
118;6.249.998.530;-52 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=170/43520, ttl=64 (no response found!);161;192.168.1.102;;-52 dBm;
119;6.250.016.032;-52 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=170/43520, ttl=64 (no response found!);161;192.168.1.102;;-52 dBm;
120;6.251.370.362;-53 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=170/43520, ttl=64 (no response found!);161;192.168.1.102;;-53 dBm;
121;6.251.394.173;-52 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=170/43520, ttl=64 (no response found!);161;192.168.1.102;;-52 dBm;
122;6.252.371.888;-53 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=170/43520, ttl=64 (reply in 123);161;192.168.1.102;;-53 dBm;
123;6.254.849.288;-64 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=170/43520, ttl=64 (request in 122);172;192.168.1.102;;-64 dBm;
124;6.257.236.215;-53 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=170/43520, ttl=64;161;192.168.1.102;;-53 dBm;
140;7.153.976.183;-62 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=116/29696, ttl=64 (no response found!);161;;192.168.1.106;;-62 dBm
141;7.184.823.054;-53 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=116/29696, ttl=64 (reply in 142);161;;192.168.1.106;;-53 dBm
